f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
8130,100084,4.423753976821899,8,12510.375,10,100000,75,1
8130,100082,4.361702919006348,8,12510.125,10,100000,75,2
8130,100082,4.337815999984741,8,12510.125,10,100000,75,3
8130,100082,4.330674886703491,8,12510.125,10,100000,75,4
8130,100082,4.338741064071655,8,12510.125,10,100000,75,5
12120,100167,4.498862028121948,9,11129.555555555555,20,100000,75,1
12104,100167,4.505743026733398,9,11129.555555555555,20,100000,75,2
12111,100167,4.500859975814819,9,11129.555555555555,20,100000,75,3
12111,100167,4.562082052230835,9,11129.555555555555,20,100000,75,4
12109,100167,4.487685918807983,9,11129.555555555555,20,100000,75,5
17272,100301,4.609109878540039,11,9118.181818181818,40,100000,75,1
17274,100303,4.587163925170898,11,9118.363636363636,40,100000,75,2
17266,100346,4.660841941833496,12,8362.083333333334,40,100000,75,3
17275,100302,4.5736401081085205,11,9118.272727272728,40,100000,75,4
17279,100377,4.64378809928894,12,8364.666666666666,40,100000,75,5
24017,100817,4.84971284866333,13,7755.076923076923,80,100000,75,1
24018,100687,4.827102899551392,12,8390.5,80,100000,75,2
24016,100681,4.817854881286621,12,8390.0,80,100000,75,3
24025,100678,4.843854904174805,12,8389.75,80,100000,75,4
24017,100680,4.835249900817871,12,8389.916666666666,80,100000,75,5
32496,101358,5.059064149856567,14,7239.785714285715,160,100000,75,1
32494,101333,5.036928176879883,14,7238.0,160,100000,75,2
32491,101349,5.061026096343994,14,7239.142857142857,160,100000,75,3
32503,101342,5.097491025924683,13,7795.461538461538,160,100000,75,4
32489,101343,5.077661037445068,13,7795.538461538462,160,100000,75,5
42872,103594,6.018477916717529,17,6093.705882352941,320,100000,75,1
42867,103550,5.917293071746826,16,6471.8125,320,100000,75,2
42862,103705,5.9397358894348145,17,6100.235294117647,320,100000,75,3
42860,103697,5.994757890701294,16,6481.0,320,100000,75,4
42874,103205,5.752092123031616,16,6450.25,320,100000,75,5
54579,110101,8.902978897094727,19,5794.736842105263,640,100000,75,1
54588,110257,9.023853063583374,19,5802.9473684210525,640,100000,75,2
54576,110252,8.95062804222107,19,5802.684210526316,640,100000,75,3
54576,110207,8.947037935256958,19,5800.315789473684,640,100000,75,4
54574,110203,8.845696926116943,19,5800.105263157895,640,100000,75,5
67621,128904,21.40816617012024,21,6138.238095238095,1280,100000,75,1
67630,128718,21.15155792236328,21,6129.380952380952,1280,100000,75,2
67616,128384,21.379643201828003,21,6113.476190476191,1280,100000,75,3
67610,127896,21.077563047409058,21,6090.238095238095,1280,100000,75,4
67617,128327,21.32195281982422,21,6110.761904761905,1280,100000,75,5
79080,173114,59.73002600669861,22,7868.772727272727,2560,100000,75,1
78801,171829,59.45892310142517,21,8182.285714285715,2560,100000,75,2
80930,186539,75.75516295433044,22,8479.0,2560,100000,75,3
78887,171431,59.39175796508789,21,8163.333333333333,2560,100000,75,4
80949,186651,75.86988306045532,23,8115.217391304348,2560,100000,75,5
88936,269024,166.86874294281006,22,12228.318181818182,5120,100000,75,1
86001,263172,159.08648920059204,22,11962.318181818182,5120,100000,75,2
86096,262916,158.38706707954407,21,12519.761904761905,5120,100000,75,3
86074,263060,158.8878698348999,21,12526.619047619048,5120,100000,75,4
88875,269614,167.43157601356506,22,12255.136363636364,5120,100000,75,5
95341,348120,277.4836151599884,22,15823.59090909091,10000,100000,75,1
95311,357125,291.0269491672516,22,16232.90909090909,10000,100000,75,2
95300,348284,278.3245391845703,22,15831.045454545454,10000,100000,75,3
95339,348288,277.90376114845276,22,15831.227272727272,10000,100000,75,4
95327,356971,291.2935199737549,22,16225.90909090909,10000,100000,75,5
