f_of_S,Queries,Time,k,n,nproc,trial
26163,101012,5.024259090423584,100,100000,75,1
26126,101224,5.123942136764526,100,100000,75,2
26169,100947,5.131419897079468,100,100000,75,3
26188,101000,5.030617952346802,100,100000,75,4
26132,100948,5.024999141693115,100,100000,75,5
35681,101642,6.0630810260772705,200,100000,75,1
35683,101650,6.015229940414429,200,100000,75,2
35676,101678,5.985533952713013,200,100000,75,3
35654,101672,6.005507946014404,200,100000,75,4
35691,101626,6.008924961090088,200,100000,75,5
37733,104432,16.54341983795166,400,100000,75,1
37410,184960,38.334431886672974,400,100000,75,2
37418,185983,38.60400700569153,400,100000,75,3
38090,105122,16.71444797515869,400,100000,75,4
37005,105136,16.573391914367676,400,100000,75,5
57999,384456,96.20736598968506,800,100000,75,1
58040,380945,96.20260810852051,800,100000,75,2
58054,383739,97.01276588439941,800,100000,75,3
57915,380808,96.9252610206604,800,100000,75,4
57916,383907,97.1525981426239,800,100000,75,5
71816,643097,294.6019461154938,1600,100000,75,1
71841,641729,292.39026403427124,1600,100000,75,2
71854,644331,293.8689229488373,1600,100000,75,3
71823,645074,291.83692502975464,1600,100000,75,4
71844,642464,293.92588782310486,1600,100000,75,5
73462,429529,213.24305701255798,3200,100000,75,1
73413,430947,213.31119298934937,3200,100000,75,2
73533,432053,213.75156903266907,3200,100000,75,3
73485,427770,213.75666403770447,3200,100000,75,4
73434,430250,213.64750504493713,3200,100000,75,5
81712,756462,495.84444093704224,6400,100000,75,1
81787,785252,521.1492600440979,6400,100000,75,2
81767,772045,508.5028281211853,6400,100000,75,3
81728,792627,521.5857400894165,6400,100000,75,4
81923,821242,521.7185649871826,6400,100000,75,5
98545,2051981,1814.7270731925964,10000,100000,75,1
98582,2052658,1814.0855870246887,10000,100000,75,2
98597,2044587,1814.2458398342133,10000,100000,75,3
98598,2050838,1814.5079460144043,10000,100000,75,4
98580,2057430,1817.2085871696472,10000,100000,75,5
