f_of_S,Queries,Time,k,n,nproc,trial
18294,100549,4.120729923248291,100,100000,75,1
17860,100362,3.930629014968872,100,100000,75,2
17062,100362,3.9179091453552246,100,100000,75,3
20414,100550,4.15435004234314,100,100000,75,4
19911,100586,4.05105996131897,100,100000,75,5
25032,100932,4.191874980926514,200,100000,75,1
27368,100960,4.095477104187012,200,100000,75,2
26527,100943,4.138041973114014,200,100000,75,3
27001,101124,4.0988099575042725,200,100000,75,4
23968,100963,4.133569955825806,200,100000,75,5
28945,101840,4.189629077911377,400,100000,75,1
30961,101776,4.253319025039673,400,100000,75,2
36221,101975,4.24695897102356,400,100000,75,3
33539,101869,4.236192941665649,400,100000,75,4
31640,101901,4.2064208984375,400,100000,75,5
43898,104872,5.1395180225372314,800,100000,75,1
42759,103969,4.6321539878845215,800,100000,75,2
43915,104916,5.13864803314209,800,100000,75,3
44425,104350,4.757777214050293,800,100000,75,4
45479,104119,4.620131015777588,800,100000,75,5
52486,110440,7.638242959976196,1600,100000,75,1
53123,110564,7.640517950057983,1600,100000,75,2
59297,111630,7.863887071609497,1600,100000,75,3
57911,111794,7.803997039794922,1600,100000,75,4
55583,110696,7.597809791564941,1600,100000,75,5
76615,126284,16.875755071640015,3200,100000,75,1
76839,126254,16.942803859710693,3200,100000,75,2
75282,125642,16.59124183654785,3200,100000,75,3
76777,126262,16.761922121047974,3200,100000,75,4
76229,126293,16.848957061767578,3200,100000,75,5
85791,160388,47.08065700531006,6400,100000,75,1
85779,161044,48.41469216346741,6400,100000,75,2
85825,160893,47.757915019989014,6400,100000,75,3
86459,159941,48.4137499332428,6400,100000,75,4
85930,157578,46.099912881851196,6400,100000,75,5
90514,206233,100.65977096557617,10000,100000,75,1
90940,207557,106.99612998962402,10000,100000,75,2
90423,206168,101.6770088672638,10000,100000,75,3
90659,205587,104.98766613006592,10000,100000,75,4
90492,205445,104.3445770740509,10000,100000,75,5
