f_of_S,Queries,Time,k,n,nproc,trial
26495,100810,4.768283843994141,100,100000,75,1
26475,100921,4.834705114364624,100,100000,75,2
26493,100794,4.746553897857666,100,100000,75,3
26485,101020,4.9223668575286865,100,100000,75,4
26487,101036,4.869336128234863,100,100000,75,5
35679,102105,5.240465879440308,200,100000,75,1
35689,101864,5.133652925491333,200,100000,75,2
35669,102106,5.241545915603638,200,100000,75,3
35683,101871,5.1266930103302,200,100000,75,4
35678,102117,5.2269511222839355,200,100000,75,5
46485,104742,6.317938804626465,400,100000,75,1
46480,105104,6.213376998901367,400,100000,75,2
46471,105198,6.352763891220093,400,100000,75,3
46479,105171,6.3375489711761475,400,100000,75,4
46482,105327,6.406394004821777,400,100000,75,5
58666,114854,11.14038610458374,800,100000,75,1
58671,114903,11.06477689743042,800,100000,75,2
58666,114833,11.187114000320435,800,100000,75,3
58663,114898,11.136376142501831,800,100000,75,4
58671,114864,11.122341871261597,800,100000,75,5
71943,136883,26.834532976150513,1600,100000,75,1
71954,136741,26.807524919509888,1600,100000,75,2
71960,137560,26.882611989974976,1600,100000,75,3
71951,137209,26.768455982208252,1600,100000,75,4
71969,137158,26.802956104278564,1600,100000,75,5
83372,212721,99.98906898498535,3200,100000,75,1
83513,212668,100.3034770488739,3200,100000,75,2
83492,212270,100.51781487464905,3200,100000,75,3
83444,212455,100.42282795906067,3200,100000,75,4
83401,212195,100.33111310005188,3200,100000,75,5
88845,282537,178.17950296401978,6400,100000,75,1
88879,282322,178.1087200641632,6400,100000,75,2
88744,281388,176.9980959892273,6400,100000,75,3
88858,281979,176.88935017585754,6400,100000,75,4
88793,281790,178.1482970714569,6400,100000,75,5
95335,348909,271.24816489219666,10000,100000,75,1
95323,357810,283.3869779109955,10000,100000,75,2
95369,349022,270.93703293800354,10000,100000,75,3
95328,348471,270.7971730232239,10000,100000,75,4
95316,356436,283.12936902046204,10000,100000,75,5
