f_of_S,Queries,Time,k,n,nproc,trial
23319557.0,2968,0.026818037033081055,2,1885,75,1
25426553.0,2964,0.02600693702697754,2,1885,75,2
23594596.0,2966,0.027230024337768555,2,1885,75,3
24026139.0,2966,0.02750706672668457,2,1885,75,4
23893223.819969982,2966,0.02726888656616211,2,1885,75,5
46275890.02677789,2592,0.02320694923400879,4,1885,75,1
45275822.02677789,2940,0.029819011688232422,4,1885,75,2
45952278.028146535,2940,0.030187129974365234,4,1885,75,3
44870327.04225092,2944,0.030169963836669922,4,1885,75,4
47421603.097152084,2944,0.02984905242919922,4,1885,75,5
91833077.64818946,2173,0.024745941162109375,8,1885,75,1
86182980.15618187,2583,0.03568005561828613,8,1885,75,2
91463952.97905101,2170,0.02410101890563965,8,1885,75,3
88277157.13910878,2585,0.035041093826293945,8,1885,75,4
88123642.35610038,2171,0.024637937545776367,8,1885,75,5
157045111.72781086,3255,0.0660550594329834,16,1885,75,1
160276160.63099456,5248,0.15588116645812988,16,1885,75,2
156704229.94672447,5246,0.1540369987487793,16,1885,75,3
159306371.63086575,3257,0.06465792655944824,16,1885,75,4
162718359.17026216,3253,0.0682821273803711,16,1885,75,5
303656368.0032128,3527,0.1765458583831787,32,1885,75,1
301185525.359201,3230,0.12753582000732422,32,1885,75,2
305119741.62507397,3527,0.1794908046722412,32,1885,75,3
302136051.7171004,3530,0.1731410026550293,32,1885,75,4
304669648.83293533,3524,0.17820405960083008,32,1885,75,5
584528706.2140177,2891,0.19186091423034668,64,1885,75,1
577732400.7609898,2924,0.20270991325378418,64,1885,75,2
580879963.4008515,2893,0.19037199020385742,64,1885,75,3
577161090.590727,2910,0.1970210075378418,64,1885,75,4
570688032.8074569,2895,0.19033408164978027,64,1885,75,5
1046794885.3138622,4829,1.0687739849090576,128,1885,75,1
1046818270.8230423,3750,0.6388828754425049,128,1885,75,2
1049030279.8714557,4848,1.0717289447784424,128,1885,75,3
1049108570.0821229,4867,1.0841219425201416,128,1885,75,4
1042093331.8935032,3690,0.6516211032867432,128,1885,75,5
1464878325.0434155,4922,1.5575478076934814,188,1885,75,1
1474633117.481821,4851,1.5549240112304688,188,1885,75,2
1469019434.4399476,4847,1.5655231475830078,188,1885,75,3
1481697259.546613,4608,1.262934923171997,188,1885,75,4
1466641336.628768,4857,1.5362598896026611,188,1885,75,5
