f_of_S,Queries,Time,k,n,nproc,trial
16017087.0,1887,0.010969161987304688,2,1885,75,1
16017087.0,1887,0.008838891983032227,2,1885,75,2
16017087.0,1887,0.008747100830078125,2,1885,75,3
16017087.0,1887,0.008756160736083984,2,1885,75,4
16017087.0,1887,0.008593082427978516,2,1885,75,5
50218078.60172092,1910,0.013724088668823242,4,1885,75,1
51266664.59117568,1910,0.011987924575805664,4,1885,75,2
53222596.72046067,1910,0.011875152587890625,4,1885,75,3
48152557.418104574,1910,0.011963129043579102,4,1885,75,4
49944528.53310165,1910,0.011981964111328125,4,1885,75,5
93046600.17265841,1934,0.015025138854980469,8,1885,75,1
80575939.27748916,1934,0.014255046844482422,8,1885,75,2
93864774.59403032,1934,0.014889001846313477,8,1885,75,3
100066394.43262814,1934,0.01583409309387207,8,1885,75,4
93887506.33767472,1934,0.014935016632080078,8,1885,75,5
160776625.68164626,1982,0.026391983032226562,16,1885,75,1
156026913.61827102,1982,0.02338099479675293,16,1885,75,2
169839704.21634758,1982,0.02375316619873047,16,1885,75,3
153436868.49750283,1982,0.023581981658935547,16,1885,75,4
169808846.9811531,1982,0.02503204345703125,16,1885,75,5
285810719.2778539,2031,0.0353851318359375,32,1885,75,1
297402996.3830226,2031,0.03489804267883301,32,1885,75,2
297037214.69203484,2031,0.034594058990478516,32,1885,75,3
270733181.540964,2031,0.03388094902038574,32,1885,75,4
281417174.408907,2031,0.03280019760131836,32,1885,75,5
535592547.04808545,2135,0.05556821823120117,64,1885,75,1
445674673.72195315,2135,0.052436113357543945,64,1885,75,2
398926952.0071629,2135,0.04835200309753418,64,1885,75,3
517907749.98051125,2135,0.05440092086791992,64,1885,75,4
532490141.67003775,2135,0.056494951248168945,64,1885,75,5
783480825.044524,2336,0.08499622344970703,128,1885,75,1
928105695.4322484,2336,0.09258103370666504,128,1885,75,2
917723561.6780431,2336,0.09029507637023926,128,1885,75,3
933737732.5772552,2336,0.08964896202087402,128,1885,75,4
760740382.5222746,2336,0.08318901062011719,128,1885,75,5
1146693841.0163753,2519,0.12477397918701172,188,1885,75,1
1270782381.7118437,2519,0.1267719268798828,188,1885,75,2
1261887581.0805087,2519,0.1278998851776123,188,1885,75,3
1173111283.3066866,2519,0.12178277969360352,188,1885,75,4
1314125087.7894852,2519,0.13002681732177734,188,1885,75,5
