f_of_S,Queries,Time,k,n,nproc,trial
30677308.118858747,1895,0.014784097671508789,2,1885,75,1
30677308.118858747,1895,0.014173030853271484,2,1885,75,2
30677308.118858747,1895,0.013998985290527344,2,1885,75,3
29455679.02677789,1895,0.014528989791870117,2,1885,75,4
29455679.02677789,1895,0.014651060104370117,2,1885,75,5
49491693.39415264,1928,0.021847009658813477,4,1885,75,1
57252798.55448051,1931,0.021979808807373047,4,1885,75,2
49491693.39415264,1928,0.022008895874023438,4,1885,75,3
54291705.14372799,1931,0.021764039993286133,4,1885,75,4
56254210.52355662,1931,0.022916793823242188,4,1885,75,5
100903209.94672449,1953,0.026674985885620117,8,1885,75,1
106318374.03880535,1972,0.03044891357421875,8,1885,75,2
100903209.94672449,1953,0.025914907455444336,8,1885,75,3
105041147.29792267,1973,0.029471158981323242,8,1885,75,4
105041147.29792267,1973,0.030683040618896484,8,1885,75,5
191262658.3981888,2093,0.0502009391784668,16,1885,75,1
185970923.1511744,2008,0.04063916206359863,16,1885,75,2
180940959.87545875,2006,0.03963494300842285,16,1885,75,3
188215677.15117443,2005,0.039019107818603516,16,1885,75,4
176833930.87545875,2007,0.041442155838012695,16,1885,75,5
322899434.4248644,2186,0.07826900482177734,32,1885,75,1
330227781.00890934,2168,0.07302021980285645,32,1885,75,2
326778527.0350946,2193,0.0787057876586914,32,1885,75,3
330312697.05148095,2188,0.08280301094055176,32,1885,75,4
332435872.6591356,2195,0.08180403709411621,32,1885,75,5
607417010.5693529,2443,0.16545391082763672,64,1885,75,1
605292883.529395,2451,0.16615605354309082,64,1885,75,2
613836406.6142534,2447,0.16011905670166016,64,1885,75,3
607764831.5411543,2451,0.1653459072113037,64,1885,75,4
604975259.3601322,2450,0.16884613037109375,64,1885,75,5
1114907080.8769975,2875,0.3319511413574219,128,1885,75,1
1115984785.994152,2856,0.3222200870513916,128,1885,75,2
1107673112.8047094,2859,0.32252001762390137,128,1885,75,3
1116145224.0385728,2856,0.32152605056762695,128,1885,75,4
1123271963.828318,2860,0.305682897567749,128,1885,75,5
1559686248.1341567,3801,0.9643468856811523,188,1885,75,1
1562452429.447416,3801,0.9835889339447021,188,1885,75,2
1559381548.9074786,3791,0.9743070602416992,188,1885,75,3
1561805717.2145176,3793,0.9693021774291992,188,1885,75,4
1565388615.2823145,3826,0.9801530838012695,188,1885,75,5
