f_of_S,Queries,Time,k,n,nproc,trial
13451.0,128768,7.172150135040283,100,100000,75,1
13453.0,128685,7.2039220333099365,100,100000,75,2
13688.0,112079,5.516072034835815,100,100000,75,3
13015.0,128938,7.205085039138794,100,100000,75,4
13456.0,128758,7.204242944717407,100,100000,75,5
26296.0,129834,8.670928001403809,200,100000,75,1
26300.0,125234,7.745604991912842,200,100000,75,2
26303.0,129999,8.670921087265015,200,100000,75,3
26282.0,125202,7.763689041137695,200,100000,75,4
26340.0,120637,6.78256893157959,200,100000,75,5
42632.0,128381,9.638176918029785,400,100000,75,1
42609.0,128369,9.618535995483398,400,100000,75,2
42640.0,128358,9.620239019393921,400,100000,75,3
42659.0,128267,9.57899284362793,400,100000,75,4
42592.0,128243,9.619882106781006,400,100000,75,5
72600.0,118135,10.327667951583862,800,100000,75,1
72612.0,117743,10.182676792144775,800,100000,75,2
72600.0,118098,10.178395986557007,800,100000,75,3
72614.0,118794,10.71715497970581,800,100000,75,4
72572.0,118312,10.202373027801514,800,100000,75,5
99405.0,118398,18.352668046951294,1600,100000,75,1
99408.0,117848,18.305572986602783,1600,100000,75,2
99405.0,118424,18.390948057174683,1600,100000,75,3
99406.0,118663,18.448528051376343,1600,100000,75,4
99407.0,118192,18.386565923690796,1600,100000,75,5
99428.0,242057,191.35593390464783,3200,100000,75,1
99426.0,242494,191.30824613571167,3200,100000,75,2
99424.0,242110,190.78356504440308,3200,100000,75,3
99422.0,243966,190.86041402816772,3200,100000,75,4
99428.0,243634,191.21962094306946,3200,100000,75,5
99460.0,1420922,872.623046875,6400,100000,75,1
99473.0,1410614,881.5958480834961,6400,100000,75,2
99473.0,1428857,878.6888988018036,6400,100000,75,3
99465.0,1406036,882.5350878238678,6400,100000,75,4
99471.0,1416918,879.3539040088654,6400,100000,75,5
99480.0,1632088,1269.742572069168,10000,100000,75,1
99488.0,1607350,1234.410012960434,10000,100000,75,2
99480.0,1598608,1237.0196590423584,10000,100000,75,3
99491.0,1571726,1232.760360956192,10000,100000,75,4
99487.0,1624919,1232.3856840133667,10000,100000,75,5
