f_of_S,Queries,Time,k,n,nproc,trial
10380.0,100362,3.8983330726623535,100,100000,75,1
11995.0,100362,3.9027600288391113,100,100000,75,2
11597.0,100362,4.032477140426636,100,100000,75,3
12262.0,100362,3.9965059757232666,100,100000,75,4
12795.0,100362,4.086358070373535,100,100000,75,5
18385.0,100670,4.063302993774414,200,100000,75,1
18779.0,100670,4.123278856277466,200,100000,75,2
17124.0,100670,4.103981971740723,200,100000,75,3
15515.0,100670,4.140480041503906,200,100000,75,4
18798.0,100670,4.100980997085571,200,100000,75,5
25577.0,101277,4.071645021438599,400,100000,75,1
30321.0,101277,4.186995983123779,400,100000,75,2
30290.0,101277,4.086582899093628,400,100000,75,3
26600.0,101277,4.012286901473999,400,100000,75,4
29887.0,101277,4.058712005615234,400,100000,75,5
46653.0,102484,4.141339063644409,800,100000,75,1
50610.0,104945,5.0953991413116455,800,100000,75,2
51558.0,104945,5.039999961853027,800,100000,75,3
43325.0,102484,4.177453994750977,800,100000,75,4
51545.0,104945,5.0706658363342285,800,100000,75,5
76738.0,109746,7.537471055984497,1600,100000,75,1
74830.0,109746,7.464440107345581,1600,100000,75,2
83917.0,111752,8.552328824996948,1600,100000,75,3
79435.0,111425,8.915637969970703,1600,100000,75,4
80011.0,111614,8.79735803604126,1600,100000,75,5
99411.0,124569,20.18634605407715,3200,100000,75,1
99414.0,124271,22.23007297515869,3200,100000,75,2
99434.0,124907,20.901222944259644,3200,100000,75,3
99412.0,124474,21.754158973693848,3200,100000,75,4
99412.0,124427,20.768872022628784,3200,100000,75,5
99437.0,136825,26.5833158493042,6400,100000,75,1
99437.0,140157,28.664817094802856,6400,100000,75,2
99436.0,140348,28.492998838424683,6400,100000,75,3
99434.0,136789,25.40133810043335,6400,100000,75,4
99436.0,136375,26.139381885528564,6400,100000,75,5
99439.0,174981,60.16794490814209,10000,100000,75,1
99438.0,174724,64.18132400512695,10000,100000,75,2
99437.0,175246,57.71280789375305,10000,100000,75,3
99438.0,174917,62.7412109375,10000,100000,75,4
99439.0,174824,63.52288794517517,10000,100000,75,5
