f_of_S,Queries,Time,k,n,nproc,trial
15592.0,100885,4.316591024398804,100,100000,75,1
15502.0,100867,4.254561901092529,100,100000,75,2
15590.0,100866,4.215172052383423,100,100000,75,3
15624.0,100867,4.254126071929932,100,100000,75,4
15590.0,100867,4.318657875061035,100,100000,75,5
27537.0,106096,5.335267066955566,200,100000,75,1
27440.0,106197,5.438408851623535,200,100000,75,2
27343.0,106077,5.366644859313965,200,100000,75,3
27616.0,106117,5.321752071380615,200,100000,75,4
27456.0,106092,5.395421028137207,200,100000,75,5
42920.0,115013,7.9590959548950195,400,100000,75,1
43013.0,121726,10.108265161514282,400,100000,75,2
43289.0,118242,8.926974058151245,400,100000,75,3
43133.0,121466,10.10137391090393,400,100000,75,4
43076.0,121558,10.02621603012085,400,100000,75,5
72071.0,124732,12.858215093612671,800,100000,75,1
72338.0,126475,13.574316024780273,800,100000,75,2
72646.0,123712,12.388401985168457,800,100000,75,3
72571.0,122337,11.900413036346436,800,100000,75,4
72105.0,123661,12.705031156539917,800,100000,75,5
99434.0,132232,17.896076917648315,1600,100000,75,1
99434.0,133541,18.31695294380188,1600,100000,75,2
99428.0,132789,18.709876775741577,1600,100000,75,3
99432.0,133095,18.776185035705566,1600,100000,75,4
99434.0,132529,17.940792083740234,1600,100000,75,5
99434.0,152241,37.0786988735199,3200,100000,75,1
99435.0,151826,38.202414989471436,3200,100000,75,2
99433.0,151260,38.16953110694885,3200,100000,75,3
99433.0,151906,38.8775999546051,3200,100000,75,4
99433.0,151507,37.15286207199097,3200,100000,75,5
99437.0,227882,101.63382196426392,6400,100000,75,1
99432.0,226867,101.05574893951416,6400,100000,75,2
99432.0,227231,101.68935084342957,6400,100000,75,3
99434.0,226049,99.98334884643555,6400,100000,75,4
99435.0,226785,101.44014811515808,6400,100000,75,5
99431.0,290458,162.53502488136292,10000,100000,75,1
99427.0,289544,162.84932494163513,10000,100000,75,2
99426.0,290654,163.92161798477173,10000,100000,75,3
99433.0,289623,162.67754411697388,10000,100000,75,4
99429.0,290326,163.50725889205933,10000,100000,75,5
