f_of_S,Queries,Time,k,n,nproc,trial
8870.58364,97817,5.201425075531006,10,10000,75,1
8809.609958000001,97837,5.225553035736084,10,10000,75,2
9008.527806,105170,5.377307891845703,10,10000,75,3
9020.46382,156390,5.6592230796813965,10,10000,75,4
9007.197565,99096,5.286058187484741,10,10000,75,5
8870.58364,99879,5.239804983139038,20,10000,75,1
8995.645053,100251,5.3207361698150635,20,10000,75,2
9008.527806,128673,5.636262893676758,20,10000,75,3
9048.977134,114352,5.703841924667358,20,10000,75,4
9029.666564,116788,5.5560948848724365,20,10000,75,5
9042.990362,103966,5.410037040710449,40,10000,75,1
9027.991719000001,108433,5.526598930358887,40,10000,75,2
9055.008636999999,105319,5.5975799560546875,40,10000,75,3
9076.38462,148089,6.019017934799194,40,10000,75,4
9034.986577,106277,5.55647611618042,40,10000,75,5
9104.333727,111932,5.799898862838745,80,10000,75,1
9116.889508,120703,6.013580083847046,80,10000,75,2
9120.124772,113417,5.97295618057251,80,10000,75,3
9088.428363,191257,6.879611015319824,80,10000,75,4
9099.826329,109411,5.972234010696411,80,10000,75,5
9133.024185,108977,6.749732971191406,160,10000,75,1
9131.462956,147585,7.609955072402954,160,10000,75,2
9113.237511,132882,7.816298007965088,160,10000,75,3
9152.637408999999,147786,8.539882183074951,160,10000,75,4
9129.147556999998,123199,7.351183891296387,160,10000,75,5
9157.22306,118437,10.102553844451904,320,10000,75,1
9168.433827,125648,12.032519102096558,320,10000,75,2
9165.492817,143308,13.12034010887146,320,10000,75,3
9163.138909,184911,14.595144987106323,320,10000,75,4
9164.898727,159659,13.32577896118164,320,10000,75,5
9200.556463,130603,23.396294116973877,640,10000,75,1
9195.461291,133585,26.32254195213318,640,10000,75,2
9202.561753,134109,25.09165096282959,640,10000,75,3
9208.774885,158629,34.55167293548584,640,10000,75,4
9196.981171,154078,30.329134941101074,640,10000,75,5
9225.845635,149061,49.27555799484253,1000,10000,75,1
9228.010033999999,145645,52.31497597694397,1000,10000,75,2
9221.353134,149320,51.34194803237915,1000,10000,75,3
9232.680395,168562,68.56409192085266,1000,10000,75,4
9228.052065,180990,66.72453618049622,1000,10000,75,5
