f_of_S,Queries,Time,k,n,nproc,trial
8995.710799,20034,0.08826208114624023,10,10000,75,1
8995.710799,20034,0.08618688583374023,10,10000,75,2
8995.710799,20034,0.08378195762634277,10,10000,75,3
8995.710799,20034,0.08397507667541504,10,10000,75,4
8995.710799,20034,0.08357715606689453,10,10000,75,5
8995.710799,20064,0.08402609825134277,20,10000,75,1
8995.710799,20064,0.08411288261413574,20,10000,75,2
8995.710799,20064,0.08410406112670898,20,10000,75,3
8995.710799,20064,0.08401012420654297,20,10000,75,4
8995.710799,20064,0.08364701271057129,20,10000,75,5
8995.710799,20124,0.0843350887298584,40,10000,75,1
8995.710799,20124,0.08457684516906738,40,10000,75,2
8995.710799,20124,0.08481192588806152,40,10000,75,3
8995.710799,20124,0.08410191535949707,40,10000,75,4
8995.710799,20124,0.08453607559204102,40,10000,75,5
8995.710799,20244,0.0856020450592041,80,10000,75,1
8995.710799,20244,0.08482193946838379,80,10000,75,2
8995.710799,20244,0.08541202545166016,80,10000,75,3
8995.710799,20244,0.08489394187927246,80,10000,75,4
8995.710799,20244,0.0850520133972168,80,10000,75,5
9124.503188,20497,0.14757704734802246,160,10000,75,1
9124.503188,20497,0.15014982223510742,160,10000,75,2
9112.207022999999,20500,0.1430048942565918,160,10000,75,3
9150.687479,20497,0.2879660129547119,160,10000,75,4
9112.207022999999,20497,0.14178895950317383,160,10000,75,5
9114.707516,21176,0.20339703559875488,320,10000,75,1
9117.748224,21161,0.21538019180297852,320,10000,75,2
9127.032768000001,21199,0.22673416137695312,320,10000,75,3
9129.008048,21178,0.2387528419494629,320,10000,75,4
9128.381527,21198,0.22898411750793457,320,10000,75,5
9171.790169,22818,0.46163392066955566,640,10000,75,1
9171.270387,22903,0.5011179447174072,640,10000,75,2
9163.331971000001,22913,0.4509749412536621,640,10000,75,3
9168.729804,23217,0.5312950611114502,640,10000,75,4
9146.849327,22856,0.3438408374786377,640,10000,75,5
9185.233476000001,25014,0.936514139175415,1000,10000,75,1
9192.994929,24892,0.8112568855285645,1000,10000,75,2
9201.221628,25002,1.0225160121917725,1000,10000,75,3
9190.137514,25053,0.8216891288757324,1000,10000,75,4
9197.854083,25132,0.9068021774291992,1000,10000,75,5
