f_of_S,Queries,Time,k,n,nproc,trial
9044.550626,40710,0.29140400886535645,10,10000,75,1
8994.193328,47317,0.3919050693511963,10,10000,75,2
9034.867798,41562,0.2979152202606201,10,10000,75,3
9069.282856,39941,0.2519700527191162,10,10000,75,4
9039.659475,40308,0.26113390922546387,10,10000,75,5
9018.796035,41128,0.2720940113067627,20,10000,75,1
9014.125095,42130,0.29534316062927246,20,10000,75,2
9030.268954000001,42499,0.326754093170166,20,10000,75,3
9071.053603,50423,0.4890761375427246,20,10000,75,4
8987.991456,43977,0.32222890853881836,20,10000,75,5
9085.207546,40285,0.23382115364074707,40,10000,75,1
9020.687748,43629,0.3801760673522949,40,10000,75,2
9020.497765,44795,0.37177491188049316,40,10000,75,3
9101.497981999999,48149,0.49706101417541504,40,10000,75,4
9063.466053,48804,0.48876190185546875,40,10000,75,5
9151.018242,46339,0.45107483863830566,80,10000,75,1
9131.648771999999,48480,0.5224900245666504,80,10000,75,2
9139.436177,44066,0.4056880474090576,80,10000,75,3
9118.020445,45223,0.41644906997680664,80,10000,75,4
9125.807805,50290,0.5653040409088135,80,10000,75,5
9156.445833,47741,0.5949971675872803,160,10000,75,1
9144.882236000001,46407,0.5474381446838379,160,10000,75,2
9178.299116000002,46137,0.5376379489898682,160,10000,75,3
9132.881664,50372,0.7009420394897461,160,10000,75,4
9159.762976,51671,0.691688060760498,160,10000,75,5
9196.194393,49410,0.8417809009552002,320,10000,75,1
9194.252524,48914,0.7459578514099121,320,10000,75,2
9197.904886,54361,0.9035749435424805,320,10000,75,3
9188.816028000001,46409,0.7200469970703125,320,10000,75,4
9201.439632,50590,0.8758010864257812,320,10000,75,5
9225.617393,49664,1.220905065536499,640,10000,75,1
9226.442571000001,48244,1.206151008605957,640,10000,75,2
9224.179533,54814,1.4215729236602783,640,10000,75,3
9233.111806,51397,1.3821539878845215,640,10000,75,4
9228.123367,53477,1.2926499843597412,640,10000,75,5
9247.810952000002,57832,2.658627986907959,1000,10000,75,1
9246.413741,56236,2.230571985244751,1000,10000,75,2
9246.074211,55504,2.0624420642852783,1000,10000,75,3
9245.564013,55705,2.1243910789489746,1000,10000,75,4
9248.072873000001,56535,1.984792947769165,1000,10000,75,5
