f_of_S,Queries,Time,k,n,nproc,trial
89.76587035038061,27103,0.7122840881347656,26,26588,75,1
90.50518832319544,27098,0.7074120044708252,26,26588,75,2
93.5282863869683,27193,0.7172300815582275,26,26588,75,3
90.04708348895984,27113,0.7086870670318604,26,26588,75,4
92.37161803641686,27099,0.7087280750274658,26,26588,75,5
155.7801508605242,27277,0.7118558883666992,52,26588,75,1
157.94249785668345,27273,0.7142949104309082,52,26588,75,2
156.50026542448254,27525,0.728510856628418,52,26588,75,3
159.04488531979635,27261,0.711867094039917,52,26588,75,4
156.28155777902572,27281,0.7184641361236572,52,26588,75,5
269.4455975896916,27771,0.742102861404419,104,26588,75,1
266.41671183527706,27898,0.7518250942230225,104,26588,75,2
268.78835162455925,27863,0.7492029666900635,104,26588,75,3
271.7150033701096,27695,0.7428059577941895,104,26588,75,4
265.55027683799824,27492,0.7268521785736084,104,26588,75,5
462.70351533833224,27580,0.7631790637969971,208,26588,75,1
462.80473899171204,27572,0.7604680061340332,208,26588,75,2
461.6211473440332,27614,0.7623989582061768,208,26588,75,3
464.0484337961487,27545,0.7606251239776611,208,26588,75,4
460.8523255115526,27629,0.7611329555511475,208,26588,75,5
700.1212926116478,95669,3.915087938308716,416,26588,75,1
700.3852610687671,95710,3.920620918273926,416,26588,75,2
705.3952233328115,95693,3.9444990158081055,416,26588,75,3
701.4416627817182,95672,3.8902268409729004,416,26588,75,4
702.2412619499692,95714,3.9404561519622803,416,26588,75,5
1301.9215723775765,99660,5.570840120315552,932,26588,75,1
1303.95491701419,88990,4.5318310260772705,932,26588,75,2
1292.4052577843552,134106,6.818751096725464,932,26588,75,3
1291.4310388748138,162646,9.769696950912476,932,26588,75,4
1302.3449338621683,89006,4.520323038101196,932,26588,75,5
2295.3194944858146,166386,11.088067054748535,1864,26588,75,1
2295.5138166469233,147192,10.835217952728271,1864,26588,75,2
2295.379535766999,147459,10.785676002502441,1864,26588,75,3
2296.64465051689,133003,8.89479684829712,1864,26588,75,4
2294.420182016981,164152,12.824270009994507,1864,26588,75,5
3117.5886327047706,145604,11.089169979095459,2658,26588,75,1
3117.4807510522955,145499,11.125646829605103,2658,26588,75,2
3117.4871338621115,145370,11.202216863632202,2658,26588,75,3
3118.0001893225335,145204,11.117316961288452,2658,26588,75,4
3118.8433543461897,145289,11.12365198135376,2658,26588,75,5
