f_of_S,Queries,Time,k,n,nproc,trial
84.77138572372439,26717,0.5588409900665283,26,26588,75,1
84.09998802374037,26717,0.5603349208831787,26,26588,75,2
79.02494763744322,26717,0.5451419353485107,26,26588,75,3
87.58111820217812,26717,0.5452489852905273,26,26588,75,4
83.93889057452513,26717,0.5598659515380859,26,26588,75,5
124.7129175145897,26800,0.5504248142242432,52,26588,75,1
129.84266487425907,26800,0.5519499778747559,52,26588,75,2
135.12839460806896,26800,0.5622458457946777,52,26588,75,3
126.11425347037941,26800,0.5493490695953369,52,26588,75,4
137.363768875256,26800,0.5523018836975098,52,26588,75,5
223.89027622246456,26964,0.563715934753418,104,26588,75,1
229.71231836211695,26964,0.5619380474090576,104,26588,75,2
232.750734309891,26964,0.562110185623169,104,26588,75,3
232.29930427992858,26964,0.5635979175567627,104,26588,75,4
238.7327639841065,26964,0.5576879978179932,104,26588,75,5
386.13353318345554,27283,0.5773930549621582,208,26588,75,1
382.7786165498742,27283,0.5792360305786133,208,26588,75,2
380.2926600768944,27283,0.5783388614654541,208,26588,75,3
384.33099778777967,27283,0.5763430595397949,208,26588,75,4
385.8614650238132,27283,0.582413911819458,208,26588,75,5
645.1983064778727,27915,0.6038868427276611,416,26588,75,1
649.0411665808605,27915,0.6081380844116211,416,26588,75,2
641.41716293163,27915,0.6097080707550049,416,26588,75,3
650.408508563224,27915,0.6096401214599609,416,26588,75,4
661.6964616536911,27915,0.6067819595336914,416,26588,75,5
1237.0690364870752,29471,0.6801168918609619,932,26588,75,1
1219.9767255722682,29471,0.6785910129547119,932,26588,75,2
1240.8649907335403,29471,0.6828720569610596,932,26588,75,3
1218.3029915614236,29471,0.6800642013549805,932,26588,75,4
1214.8630364324806,29471,0.6761291027069092,932,26588,75,5
2189.7933006641965,32274,0.8007550239562988,1864,26588,75,1
2181.9452169976184,32274,0.7949450016021729,1864,26588,75,2
2198.7705742370044,32274,0.7967491149902344,1864,26588,75,3
2183.681958481321,32274,0.7955081462860107,1864,26588,75,4
2192.63828905423,32274,0.7946889400482178,1864,26588,75,5
3002.6532088056065,34660,0.8923900127410889,2658,26588,75,1
3001.085626162619,34660,0.8931560516357422,2658,26588,75,2
2997.2430687024294,34660,0.8943359851837158,2658,26588,75,3
2994.835784357942,34660,0.8947508335113525,2658,26588,75,4
3004.8926556103993,34660,0.9009099006652832,2658,26588,75,5
