f_of_S,Queries,Time,k,n,nproc,trial
68551.87004855995,43495,1.5608670711517334,42,42055,75,1
69068.40803408461,43605,1.5648961067199707,42,42055,75,2
69375.63827346111,43874,1.566450834274292,42,42055,75,3
70001.12325954491,43287,1.556213140487671,42,42055,75,4
70551.82822555941,43182,1.5548040866851807,42,42055,75,5
118383.41122022031,42711,1.5534851551055908,84,42055,75,1
119135.62355395855,42629,1.5501658916473389,84,42055,75,2
119912.03190810606,42615,1.549211025238037,84,42055,75,3
119601.16133917606,42670,1.5504429340362549,84,42055,75,4
118767.65427368367,42708,1.5564930438995361,84,42055,75,5
185867.673543854,43298,1.648263931274414,168,42055,75,1
185162.89543297322,46031,1.7950007915496826,168,42055,75,2
184268.35554586683,45522,1.7849669456481934,168,42055,75,3
184882.05496301697,45745,1.7867748737335205,168,42055,75,4
184727.43710348147,46231,1.8131520748138428,168,42055,75,5
275966.2892955139,46464,2.5960910320281982,336,42055,75,1
275836.0774259601,46438,2.5970089435577393,336,42055,75,2
276029.86235457583,46516,2.6106948852539062,336,42055,75,3
275930.02075999504,46490,2.5984811782836914,336,42055,75,4
275968.3766848965,46566,2.6073801517486572,336,42055,75,5
390135.2962430674,86094,7.55304217338562,672,42055,75,1
390164.76126578776,86811,7.589493036270142,672,42055,75,2
389707.89420150866,85918,7.5640130043029785,672,42055,75,3
390020.60115390614,85091,7.511718034744263,672,42055,75,4
389949.4842841559,79510,7.315104007720947,672,42055,75,5
533564.4425722203,151025,16.258524894714355,1344,42055,75,1
533496.2217902049,156870,16.641727924346924,1344,42055,75,2
533495.4858663857,150767,16.238680124282837,1344,42055,75,3
533547.9193456953,154496,16.481651067733765,1344,42055,75,4
533542.68729125,152091,16.360306978225708,1344,42055,75,5
690252.3988220239,330690,39.64582705497742,2688,42055,75,1
690305.7135035237,333775,39.964699029922485,2688,42055,75,2
690290.5985634977,330374,39.69719099998474,2688,42055,75,3
690240.6241633665,332895,39.85148286819458,2688,42055,75,4
690331.2217868906,330429,39.8256151676178,2688,42055,75,5
792902.7868936125,431754,57.895004987716675,4205,42055,75,1
793015.439357017,432520,57.60137891769409,4205,42055,75,2
793012.8027230385,430729,57.716737031936646,4205,42055,75,3
792991.3855952647,430340,57.450515031814575,4205,42055,75,4
792912.1017795448,431516,57.68909478187561,4205,42055,75,5
