f_of_S,Queries,Time,k,n,nproc,trial
57389.8960177447,42234,1.3230838775634766,42,42055,75,1
61963.74852444152,42234,1.3149781227111816,42,42055,75,2
50170.935438134744,42234,1.312175989151001,42,42055,75,3
61564.82891650391,42234,1.317206859588623,42,42055,75,4
52276.298278754744,42234,1.3020329475402832,42,42055,75,5
77837.89645813323,42368,1.3205809593200684,84,42055,75,1
87525.92508157098,42368,1.3238451480865479,84,42055,75,2
83511.44990669197,42368,1.318113088607788,84,42055,75,3
87779.26546061959,42368,1.3186290264129639,84,42055,75,4
85393.92669054128,42368,1.3234200477600098,84,42055,75,5
135590.4916271524,42628,1.3271429538726807,168,42055,75,1
139288.38076659123,42628,1.3290059566497803,168,42055,75,2
160357.47669042548,43156,1.3570008277893066,168,42055,75,3
154618.94371811318,43129,1.3567390441894531,168,42055,75,4
138344.1549791578,42628,1.3277490139007568,168,42055,75,5
211356.46902374088,44182,1.3836297988891602,336,42055,75,1
222157.10614408017,44115,1.395787000656128,336,42055,75,2
208222.3931434808,44195,1.4015910625457764,336,42055,75,3
224817.70659035473,44151,1.3967058658599854,336,42055,75,4
218155.60895913048,43981,1.3943910598754883,336,42055,75,5
304541.2479584157,46220,1.502871036529541,672,42055,75,1
319046.4561677488,46204,1.504382848739624,672,42055,75,2
311896.98278758064,46525,1.526616096496582,672,42055,75,3
312766.7436003944,46488,1.5292401313781738,672,42055,75,4
303294.81381033844,46217,1.4994208812713623,672,42055,75,5
437947.503158548,52870,1.9958128929138184,1344,42055,75,1
421370.9866730167,50227,1.7704451084136963,1344,42055,75,2
450668.35223058256,52926,1.9816720485687256,1344,42055,75,3
436055.73956410185,52836,1.988105058670044,1344,42055,75,4
432731.39690649667,52741,1.991818904876709,1344,42055,75,5
555842.5901242276,63879,3.148980140686035,2688,42055,75,1
540745.175977349,62752,3.1716949939727783,2688,42055,75,2
566933.4884429466,63770,3.0993878841400146,2688,42055,75,3
553761.6879670765,63791,3.1805620193481445,2688,42055,75,4
546483.8567957935,63104,3.085765838623047,2688,42055,75,5
573676.5660564319,74733,4.965265989303589,4205,42055,75,1
574825.5478296276,74647,4.91874098777771,4205,42055,75,2
628529.8947082653,74601,4.712138891220093,4205,42055,75,3
571659.3937026708,74797,4.984737157821655,4205,42055,75,4
580529.6604941016,74929,4.966800928115845,4205,42055,75,5
