f_of_S,Queries,Time,k,n,nproc,trial
72702.48559471004,42397,1.4677810668945312,42,42055,75,1
73276.71384609738,42472,1.497239112854004,42,42055,75,2
73537.23246542765,42469,1.4965651035308838,42,42055,75,3
72613.89212270346,42475,1.5007569789886475,42,42055,75,4
72682.23912486657,42505,1.5051209926605225,42,42055,75,5
118551.73000294401,42864,1.5360832214355469,84,42055,75,1
118666.27912925284,42879,1.5489299297332764,84,42055,75,2
118504.12335710609,42869,1.5397748947143555,84,42055,75,3
119413.34322910194,42878,1.5424509048461914,84,42055,75,4
119333.25895945095,42861,1.5419230461120605,84,42055,75,5
185078.82557622017,43872,1.6385340690612793,168,42055,75,1
185337.56151524518,43877,1.6338880062103271,168,42055,75,2
184665.10298674513,43848,1.6365330219268799,168,42055,75,3
185528.88843723395,43865,1.6265029907226562,168,42055,75,4
185022.2202848005,43874,1.6348469257354736,168,42055,75,5
275893.8559637193,46107,1.8038840293884277,336,42055,75,1
275557.3585969631,46845,1.8334009647369385,336,42055,75,2
275261.138157113,46846,1.8359260559082031,336,42055,75,3
275758.4824327976,47079,1.8343918323516846,336,42055,75,4
275332.85977433634,46836,1.825727939605713,336,42055,75,5
392068.17221190024,52259,2.2007739543914795,672,42055,75,1
392193.0292059701,52355,2.223494052886963,672,42055,75,2
391873.9149856276,52615,2.218064069747925,672,42055,75,3
392041.5823900365,52588,2.2137160301208496,672,42055,75,4
392218.0024762885,52457,2.1953680515289307,672,42055,75,5
532775.6063374161,64755,3.1642119884490967,1344,42055,75,1
532978.2503881765,64668,3.1900999546051025,1344,42055,75,2
532924.7721180384,64727,3.1447529792785645,1344,42055,75,3
532910.2637614087,64745,3.189182996749878,1344,42055,75,4
532867.4220661508,64736,3.2001469135284424,1344,42055,75,5
690052.3478241413,90644,6.003038167953491,2688,42055,75,1
690193.0426453553,90901,6.098984956741333,2688,42055,75,2
690173.7950631815,90782,5.9289422035217285,2688,42055,75,3
690094.3527679151,90648,6.077971935272217,2688,42055,75,4
690074.8048771336,90885,6.087990999221802,2688,42055,75,5
794446.6892011795,115014,9.726037979125977,4205,42055,75,1
794568.5044042452,114509,9.65945291519165,4205,42055,75,2
794552.5185041149,114454,9.56791615486145,4205,42055,75,3
794552.1556856275,114382,9.703691005706787,4205,42055,75,4
794476.0106299055,114517,9.636664867401123,4205,42055,75,5
