f_of_S,Queries,Time,k,n,nproc,trial
1422,100362,3.968177080154419,100,100000,75,1
1347,100362,3.992845058441162,100,100000,75,2
1424,100362,3.9915900230407715,100,100000,75,3
1400,100362,4.077073097229004,100,100000,75,4
1425,100362,4.05072808265686,100,100000,75,5
2795,100670,4.1130170822143555,200,100000,75,1
2792,100670,3.896559953689575,200,100000,75,2
2787,100670,4.109738111495972,200,100000,75,3
2798,100670,4.061960220336914,200,100000,75,4
2760,100670,3.9102020263671875,200,100000,75,5
5242,101277,4.137838125228882,400,100000,75,1
5328,101277,3.9676430225372314,400,100000,75,2
5284,101277,3.957167863845825,400,100000,75,3
5277,101277,4.182302951812744,400,100000,75,4
5327,101277,4.189000844955444,400,100000,75,5
9864,102484,4.288739919662476,800,100000,75,1
9866,102484,4.119570016860962,800,100000,75,2
9938,102484,4.28807806968689,800,100000,75,3
10010,102484,4.296156883239746,800,100000,75,4
9945,102484,4.284272193908691,800,100000,75,5
18683,104892,4.33284592628479,1600,100000,75,1
19047,104892,4.3142409324646,1600,100000,75,2
18951,104892,4.298364162445068,1600,100000,75,3
18604,104892,4.299092054367065,1600,100000,75,4
18998,104892,4.317713022232056,1600,100000,75,5
30315,109699,4.728147029876709,3200,100000,75,1
28151,109699,4.741255044937134,3200,100000,75,2
28186,109699,4.951560974121094,3200,100000,75,3
30647,109699,4.758671045303345,3200,100000,75,4
30443,109699,4.764838933944702,3200,100000,75,5
47450,119306,5.60834002494812,6400,100000,75,1
44218,119306,5.5714640617370605,6400,100000,75,2
44176,119306,5.630928993225098,6400,100000,75,3
47277,119306,5.636587858200073,6400,100000,75,4
44091,119306,5.624297142028809,6400,100000,75,5
69532,160196,25.241662979125977,10000,100000,75,1
69213,160196,25.52228307723999,10000,100000,75,2
68518,160196,25.358339071273804,10000,100000,75,3
69257,160196,25.284515857696533,10000,100000,75,4
67510,160196,25.331450939178467,10000,100000,75,5
