f_of_S,Queries,Time,k,n,nproc,trial
1505,100539,4.253352880477905,100,100000,75,1
1505,100557,4.101138114929199,100,100000,75,2
1505,100518,4.254368782043457,100,100000,75,3
1506,111485,5.339745998382568,100,100000,75,4
1505,100518,4.248169898986816,100,100000,75,5
2815,121376,6.346179008483887,200,100000,75,1
2805,121373,6.429204940795898,200,100000,75,2
2818,121221,6.382221937179565,200,100000,75,3
2818,111767,5.424468040466309,200,100000,75,4
2815,121358,6.405402183532715,200,100000,75,5
5401,120242,6.580356121063232,400,100000,75,1
5416,120224,6.554465055465698,400,100000,75,2
5414,120332,6.558324813842773,400,100000,75,3
5402,120306,6.4105260372161865,400,100000,75,4
5428,124965,6.9983971118927,400,100000,75,5
10565,122135,7.0849878787994385,800,100000,75,1
10504,121541,7.053822040557861,800,100000,75,2
10502,116261,6.259756088256836,800,100000,75,3
10558,121919,7.035044193267822,800,100000,75,4
10560,121786,7.087961196899414,800,100000,75,5
20575,188087,19.2226300239563,1600,100000,75,1
20602,188606,19.189810037612915,1600,100000,75,2
20488,175946,17.295403003692627,1600,100000,75,3
20578,187045,19.18507194519043,1600,100000,75,4
20582,200883,21.555445909500122,1600,100000,75,5
39604,192799,22.452106952667236,3200,100000,75,1
39569,183706,20.7127628326416,3200,100000,75,2
39633,186885,21.190787076950073,3200,100000,75,3
39647,194028,22.47989511489868,3200,100000,75,4
39614,190329,21.461288928985596,3200,100000,75,5
73389,347085,95.38922095298767,6400,100000,75,1
73452,354003,96.85299181938171,6400,100000,75,2
73375,354347,98.2486298084259,6400,100000,75,3
73508,348713,94.81590795516968,6400,100000,75,4
73438,353493,97.25627303123474,6400,100000,75,5
95321,534781,227.34128189086914,10000,100000,75,1
95330,490964,203.5134460926056,10000,100000,75,2
95405,534994,226.89546418190002,10000,100000,75,3
95386,495728,204.73377203941345,10000,100000,75,4
95327,530163,223.87943291664124,10000,100000,75,5
