f_of_S,Queries,Time,k,n,nproc,trial
12722,493664,57.529963970184326,1000.0,100000,16,1
12704,493577,55.23743295669556,1000.0,100000,16,2
12722,493664,746.6816561222076,1000.0,100000,1,1
12704,493577,749.6075339317322,1000.0,100000,1,2
12722,493664,385.7922029495239,1000.0,100000,2,1
12704,493577,385.38913202285767,1000.0,100000,2,2
12722,493664,39.86345720291138,1000.0,100000,32,1
12704,493577,40.01142692565918,1000.0,100000,32,2
12722,493664,193.66264295578003,1000.0,100000,4,1
12704,493577,194.0008590221405,1000.0,100000,4,2
12722,493664,41.15605592727661,1000.0,100000,64,1
12704,493577,41.20958685874939,1000.0,100000,64,2
12722,493664,104.27209806442261,1000.0,100000,8,1
12704,493577,102.6155641078949,1000.0,100000,8,2
