f_of_S,Queries,Time,k,n,nproc,trial
4368.2567549098785,17727,2.60632586479187,17,17432,75,1
4556.209137688962,18388,2.707883834838867,17,17432,75,2
4594.13585405324,17693,2.584027051925659,17,17432,75,3
4578.307591011767,17699,2.587027072906494,17,17432,75,4
4686.417210251661,18221,2.687919855117798,17,17432,75,5
7184.590889335021,18149,2.1958889961242676,34,17432,75,1
7199.514118260673,18142,2.201962947845459,34,17432,75,2
7207.579930279191,18151,2.2126049995422363,34,17432,75,3
7100.783885477867,72049,11.513207197189331,34,17432,75,4
7189.131708886813,18128,2.195540189743042,34,17432,75,5
9612.755815448583,25224,10.697992086410522,68,17432,75,1
9614.236100070819,25278,10.63136601448059,68,17432,75,2
9590.482062861387,23821,9.14725399017334,68,17432,75,3
9600.94240307035,24767,11.764559984207153,68,17432,75,4
9617.578757815929,23755,9.021261930465698,68,17432,75,5
12337.012011538516,29249,15.083102941513062,136,17432,75,1
12375.28733363551,29985,15.790925979614258,136,17432,75,2
11840.803286173643,28412,15.980727910995483,136,17432,75,3
12362.091991254143,29858,16.092972993850708,136,17432,75,4
12374.378997629678,30125,16.256366968154907,136,17432,75,5
15375.285219892234,49699,49.64902997016907,272,17432,75,1
15380.535129653275,48990,46.80367612838745,272,17432,75,2
15386.183901107273,45435,40.621803998947144,272,17432,75,3
15354.78018986806,49565,49.19007611274719,272,17432,75,4
15351.571496664677,48551,47.24550986289978,272,17432,75,5
18498.931095885015,111476,304.25886607170105,544,17432,75,1
18514.800988568415,115522,317.92070388793945,544,17432,75,2
18510.22956536689,113967,312.3073308467865,544,17432,75,3
18522.418344490063,113358,309.03028297424316,544,17432,75,4
18536.63762692216,113601,310.9753141403198,544,17432,75,5
21306.84168694345,140274,745.9415149688721,1088,17432,75,1
21301.445897144065,139192,741.1498770713806,1088,17432,75,2
21286.55337529829,138918,741.1372010707855,1088,17432,75,3
21311.175806206335,140153,745.6250190734863,1088,17432,75,4
21301.313025825883,139420,745.219731092453,1088,17432,75,5
24114.068257795752,211846,1993.5772030353546,1743,17432,75,1
24124.541541928946,212850,1997.1515209674835,1743,17432,75,2
24114.750367218996,213590,2007.330181837082,1743,17432,75,3
24112.68207684627,212772,2002.7857649326324,1743,17432,75,4
24127.912833287173,195189,1765.9166088104248,1743,17432,75,5
