f_of_S,Queries,Time,k,n,nproc,trial
4701.500320126191,17568,0.17621898651123047,17,17432,75,1
4245.033238219336,17569,0.18029093742370605,17,17432,75,2
4341.288163745106,17578,0.18332886695861816,17,17432,75,3
4142.372943337421,17626,0.19924306869506836,17,17432,75,4
4163.850659172493,17617,0.19445395469665527,17,17432,75,5
6323.652340316685,17791,0.3023560047149658,34,17432,75,1
5945.354508753096,17835,0.2953832149505615,34,17432,75,2
6264.366027000547,17776,0.28326892852783203,34,17432,75,3
6400.756215011207,17784,0.2662811279296875,34,17432,75,4
6235.666564715488,17790,0.2806069850921631,34,17432,75,5
7756.862366355867,18104,0.43496108055114746,68,17432,75,1
8233.310136490813,18068,0.508512020111084,68,17432,75,2
8023.608328022247,18195,0.5229640007019043,68,17432,75,3
8083.313054940906,18104,0.459273099899292,68,17432,75,4
8411.919547602962,18114,0.559920072555542,68,17432,75,5
10607.774517046959,18963,1.221053123474121,136,17432,75,1
10701.447672509821,18888,1.2592580318450928,136,17432,75,2
10861.766977785133,18817,1.355621099472046,136,17432,75,3
10565.849785513386,18873,1.2140750885009766,136,17432,75,4
10639.630446154522,18917,1.2774591445922852,136,17432,75,5
13496.683114279798,19914,4.792587041854858,272,17432,75,1
13577.84680938787,20412,3.664966106414795,272,17432,75,2
13208.755747886398,20256,4.852331876754761,272,17432,75,3
13484.917068284414,19996,5.231004953384399,272,17432,75,4
13525.702232647862,20235,5.096949100494385,272,17432,75,5
16370.159792656195,22852,15.122244119644165,544,17432,75,1
15809.202976668226,22703,16.988161087036133,544,17432,75,2
16225.298771044469,22640,19.258973121643066,544,17432,75,3
16078.051989161797,22540,20.709347009658813,544,17432,75,4
16075.56253273848,22766,17.021508932113647,544,17432,75,5
19315.23958376303,27283,65.53182291984558,1088,17432,75,1
18979.623460112223,27490,56.872145891189575,1088,17432,75,2
19118.769598669005,27482,60.68776798248291,1088,17432,75,3
19258.274675161254,27396,64.1504180431366,1088,17432,75,4
18991.519138388037,27911,62.969993114471436,1088,17432,75,5
20122.399132872964,31491,155.80574989318848,1743,17432,75,1
21190.904413006563,31966,144.90565514564514,1743,17432,75,2
20872.875065361837,32602,135.91627597808838,1743,17432,75,3
21010.479489893736,32769,141.15801906585693,1743,17432,75,4
21175.524276071745,32259,141.40635085105896,1743,17432,75,5
