f_of_S,Queries,Time,k,n,nproc,trial
5176.545055957634,17710,0.30796384811401367,17,17432,75,1
5119.788438056299,17688,0.29449009895324707,17,17432,75,2
5215.077939670451,17755,0.31972813606262207,17,17432,75,3
5173.459615790206,17736,0.30362892150878906,17,17432,75,4
5168.942155811029,17689,0.28592681884765625,17,17432,75,5
7200.558996983535,18226,0.5458838939666748,34,17432,75,1
7188.423371455895,18217,0.5227789878845215,34,17432,75,2
7194.1219367433605,18086,0.46729421615600586,34,17432,75,3
7190.916994353325,18046,0.4246480464935303,34,17432,75,4
7200.0313421589835,18186,0.5050828456878662,34,17432,75,5
9595.496961741299,19244,1.0623021125793457,68,17432,75,1
9616.276728920571,19071,1.0343120098114014,68,17432,75,2
9605.974412969752,19165,1.1492888927459717,68,17432,75,3
9600.557391206881,19130,1.05348801612854,68,17432,75,4
9606.04868852192,19086,1.159409999847412,68,17432,75,5
12391.346417434232,20818,2.5410869121551514,136,17432,75,1
12393.28619698691,20976,2.821599006652832,136,17432,75,2
12390.885500100463,20943,3.044774055480957,136,17432,75,3
12394.258223710152,21127,2.6789090633392334,136,17432,75,4
12394.269343156002,21002,2.9092459678649902,136,17432,75,5
15406.21131624118,24710,11.654381036758423,272,17432,75,1
15407.932928463344,24951,12.352982997894287,272,17432,75,2
15402.241731552687,24179,10.458730936050415,272,17432,75,3
15407.024550924203,24658,11.954012870788574,272,17432,75,4
15398.36834342933,24405,10.820003986358643,272,17432,75,5
18094.721013715884,29554,37.27982187271118,544,17432,75,1
18103.989522073993,29721,36.98296093940735,544,17432,75,2
18109.17328439071,29763,37.41782808303833,544,17432,75,3
18567.335755606255,30304,43.037814140319824,544,17432,75,4
18567.572096538748,30215,42.37461709976196,544,17432,75,5
21367.95111714354,39010,134.63879489898682,1088,17432,75,1
20945.79978912316,38446,117.65989899635315,1088,17432,75,2
20942.28846606874,38651,117.41089797019958,1088,17432,75,3
20925.795353352416,38780,119.23451900482178,1088,17432,75,4
20902.679535331714,38124,124.85605788230896,1088,17432,75,5
23300.541640208794,47556,289.0905919075012,1743,17432,75,1
22669.955662940483,46393,243.26335501670837,1743,17432,75,2
22675.500289548778,47401,231.34176802635193,1743,17432,75,3
22698.24732214392,47058,249.87964987754822,1743,17432,75,4
22679.93201273883,46673,259.6924719810486,1743,17432,75,5
