f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
23319557.0,2968,0.027422189712524414,4,0.0,2,1885,75,1
25426553.0,2964,0.026591062545776367,4,0.0,2,1885,75,2
23594596.0,2966,0.026319026947021484,4,0.0,2,1885,75,3
24026139.0,2966,0.02669811248779297,4,0.0,2,1885,75,4
23893223.819969982,2966,0.02729010581970215,4,0.0,2,1885,75,5
46275890.02677789,2592,0.024276018142700195,3,0.0,4,1885,75,1
45275822.02677789,2940,0.03030681610107422,4,0.0,4,1885,75,2
45952278.028146535,2940,0.030737876892089844,4,0.0,4,1885,75,3
44870327.04225092,2944,0.031093120574951172,4,0.0,4,1885,75,4
47421603.097152084,2944,0.03059101104736328,4,0.0,4,1885,75,5
91833077.64818946,2173,0.02515697479248047,3,0.0,8,1885,75,1
86182980.15618187,2583,0.035722970962524414,5,0.0,8,1885,75,2
91463952.97905101,2170,0.02472996711730957,3,0.0,8,1885,75,3
88277157.13910878,2585,0.035299062728881836,5,0.0,8,1885,75,4
88123642.35610038,2171,0.026419878005981445,3,0.0,8,1885,75,5
157045111.72781086,3255,0.06918597221374512,3,0.0,16,1885,75,1
160276160.63099456,5248,0.1627800464630127,5,0.0,16,1885,75,2
156704229.94672447,5246,0.1560959815979004,5,0.0,16,1885,75,3
159306371.63086575,3257,0.0689699649810791,3,0.0,16,1885,75,4
162718359.17026216,3253,0.07029604911804199,3,0.0,16,1885,75,5
303656368.0032128,3527,0.1817619800567627,5,0.0,32,1885,75,1
301185525.359201,3230,0.13074111938476562,4,0.0,32,1885,75,2
305119741.62507397,3527,0.18403196334838867,5,0.0,32,1885,75,3
302136051.7171004,3530,0.1780869960784912,5,0.0,32,1885,75,4
304669648.83293533,3524,0.1829991340637207,5,0.0,32,1885,75,5
584528706.2140177,2891,0.1929478645324707,5,0.0,64,1885,75,1
577732400.7609898,2924,0.20466995239257812,5,0.0,64,1885,75,2
580879963.4008515,2893,0.19240403175354004,5,0.0,64,1885,75,3
577161090.590727,2910,0.19849109649658203,5,0.0,64,1885,75,4
570688032.8074569,2895,0.19230103492736816,5,0.0,64,1885,75,5
1046794885.3138622,4829,1.095202922821045,7,0.0,128,1885,75,1
1046818270.8230423,3750,0.6549520492553711,5,0.0,128,1885,75,2
1049030279.8714557,4848,1.0948162078857422,7,0.0,128,1885,75,3
1049108570.0821229,4867,1.1077628135681152,7,0.0,128,1885,75,4
1042093331.8935032,3690,0.6721270084381104,5,0.0,128,1885,75,5
1464878325.0434155,4922,1.600694179534912,7,0.0,188,1885,75,1
1474633117.481821,4851,1.5985641479492188,7,0.0,188,1885,75,2
1469019434.4399476,4847,1.6054210662841797,7,0.0,188,1885,75,3
1481697259.546613,4608,1.3022000789642334,6,0.0,188,1885,75,4
1466641336.628768,4857,1.5747618675231934,7,0.0,188,1885,75,5
