f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
30677308.118858747,1895,0.018353939056396484,3,631.3333333333334,2,1885,75,1
30677308.118858747,1895,0.014487981796264648,3,631.3333333333334,2,1885,75,2
30677308.118858747,1895,0.01447916030883789,3,631.3333333333334,2,1885,75,3
29455679.02677789,1895,0.014336109161376953,3,631.3333333333334,2,1885,75,4
29455679.02677789,1895,0.014141082763671875,3,631.3333333333334,2,1885,75,5
49491693.39415264,1928,0.02357316017150879,5,385.4,4,1885,75,1
57252798.55448051,1931,0.023812055587768555,5,386.0,4,1885,75,2
49491693.39415264,1928,0.03035902976989746,5,385.4,4,1885,75,3
54291705.14372799,1931,0.04123401641845703,5,386.0,4,1885,75,4
56254210.52355662,1931,0.02805304527282715,5,386.0,4,1885,75,5
100903209.94672449,1953,0.03149700164794922,5,390.4,8,1885,75,1
106318374.03880535,1972,0.05741286277770996,6,328.5,8,1885,75,2
100903209.94672449,1953,0.030493974685668945,5,390.4,8,1885,75,3
105041147.29792267,1973,0.07216310501098633,6,328.6666666666667,8,1885,75,4
105041147.29792267,1973,0.05964803695678711,6,328.6666666666667,8,1885,75,5
191262658.3981888,2093,0.06108689308166504,7,298.85714285714283,16,1885,75,1
185970923.1511744,2008,0.04699897766113281,6,334.5,16,1885,75,2
180940959.87545875,2006,0.04572606086730957,6,334.1666666666667,16,1885,75,3
188215677.15117443,2005,0.045278072357177734,6,334.0,16,1885,75,4
176833930.87545875,2007,0.049751996994018555,6,334.3333333333333,16,1885,75,5
322899434.4248644,2186,0.09497284889221191,6,364.1666666666667,32,1885,75,1
330227781.00890934,2168,0.08843517303466797,6,361.1666666666667,32,1885,75,2
326778527.0350946,2193,0.09434390068054199,6,365.3333333333333,32,1885,75,3
330312697.05148095,2188,0.10082006454467773,6,364.5,32,1885,75,4
332435872.6591356,2195,0.12222099304199219,6,365.6666666666667,32,1885,75,5
607417010.5693529,2443,0.2033538818359375,6,407.0,64,1885,75,1
605292883.529395,2451,0.19280004501342773,6,408.3333333333333,64,1885,75,2
613836406.6142534,2447,0.18943309783935547,6,407.6666666666667,64,1885,75,3
607764831.5411543,2451,0.19493603706359863,6,408.3333333333333,64,1885,75,4
604975259.3601322,2450,0.2271740436553955,6,408.1666666666667,64,1885,75,5
1114907080.8769975,2875,0.4610099792480469,6,479.0,128,1885,75,1
1115984785.994152,2856,0.42479491233825684,6,475.8333333333333,128,1885,75,2
1107673112.8047094,2859,0.41454601287841797,6,476.3333333333333,128,1885,75,3
1116145224.0385728,2856,0.39304304122924805,6,475.8333333333333,128,1885,75,4
1123271963.828318,2860,0.3893260955810547,6,476.5,128,1885,75,5
1559686248.1341567,3801,1.1437439918518066,7,542.8571428571429,188,1885,75,1
1562452429.447416,3801,1.1466898918151855,7,542.8571428571429,188,1885,75,2
1559381548.9074786,3791,1.1067969799041748,7,541.4285714285714,188,1885,75,3
1561805717.2145176,3793,1.104274034500122,7,541.7142857142857,188,1885,75,4
1565388615.2823145,3826,1.1037428379058838,7,546.4285714285714,188,1885,75,5
