f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
13451.0,128768,7.36482310295105,6,0.0,100,100000,75,1
13453.0,128685,7.3351428508758545,6,0.0,100,100000,75,2
13688.0,112079,5.64935302734375,4,0.0,100,100000,75,3
13015.0,128938,7.302897214889526,6,0.0,100,100000,75,4
13456.0,128758,7.336283922195435,6,0.0,100,100000,75,5
26296.0,129834,8.90481185913086,7,0.0,200,100000,75,1
26300.0,125234,7.93104887008667,6,0.0,200,100000,75,2
26303.0,129999,8.945984840393066,7,0.0,200,100000,75,3
26282.0,125202,7.853066921234131,6,0.0,200,100000,75,4
26340.0,120637,6.978461980819702,5,0.0,200,100000,75,5
42632.0,128381,9.903828144073486,7,0.0,400,100000,75,1
42609.0,128369,9.856253862380981,7,0.0,400,100000,75,2
42640.0,128358,9.890947818756104,7,0.0,400,100000,75,3
42659.0,128267,9.838646173477173,7,0.0,400,100000,75,4
42592.0,128243,9.869796991348267,7,0.0,400,100000,75,5
72600.0,118135,10.607101917266846,7,0.0,800,100000,75,1
72612.0,117743,10.477762937545776,7,0.0,800,100000,75,2
72600.0,118098,10.588196992874146,7,0.0,800,100000,75,3
72614.0,118794,11.105746984481812,8,0.0,800,100000,75,4
72572.0,118312,10.609395027160645,7,0.0,800,100000,75,5
99405.0,118398,18.64143395423889,11,0.0,1600,100000,75,1
99408.0,117848,18.650547981262207,11,0.0,1600,100000,75,2
99405.0,118424,18.813652992248535,11,0.0,1600,100000,75,3
99406.0,118663,18.827911853790283,11,0.0,1600,100000,75,4
99407.0,118192,18.794268131256104,11,0.0,1600,100000,75,5
99428.0,242057,192.22177505493164,54,213.72093023255815,3200,100000,75,1
99426.0,242494,192.1990818977356,54,210.27272727272728,3200,100000,75,2
99424.0,242110,191.4962739944458,53,213.2093023255814,3200,100000,75,3
99422.0,243966,191.53382682800293,55,216.2325581395349,3200,100000,75,4
99428.0,243634,192.00189304351807,54,215.25581395348837,3200,100000,75,5
99460.0,1420922,871.0182201862335,60,396.7142857142857,6400,100000,75,1
99473.0,1410614,872.6672627925873,56,438.2105263157895,6400,100000,75,2
99473.0,1428857,869.4826638698578,60,396.2857142857143,6400,100000,75,3
99465.0,1406036,873.8408830165863,60,396.42857142857144,6400,100000,75,4
99471.0,1416918,870.90673995018,53,475.45714285714286,6400,100000,75,5
99480.0,1632088,1261.7913930416107,38,548.972972972973,10000,100000,75,1
99488.0,1607350,1224.7003109455109,37,564.2222222222222,10000,100000,75,2
99480.0,1598608,1227.4771139621735,37,564.2222222222222,10000,100000,75,3
99491.0,1571726,1227.5842640399933,37,564.2222222222222,10000,100000,75,4
99487.0,1624919,1225.3577358722687,37,564.2222222222222,10000,100000,75,5
