f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
15592.0,100885,4.376129150390625,5,20176.8,100,100000,75,1
15502.0,100867,4.34389591217041,5,20173.2,100,100000,75,2
15590.0,100866,4.333224058151245,5,20173.0,100,100000,75,3
15624.0,100867,4.319144010543823,5,20173.2,100,100000,75,4
15590.0,100867,4.308691024780273,5,20173.2,100,100000,75,5
27537.0,106096,5.523423910140991,6,17682.5,200,100000,75,1
27440.0,106197,5.526994943618774,6,17699.333333333332,200,100000,75,2
27343.0,106077,5.502024173736572,6,17679.333333333332,200,100000,75,3
27609.0,106098,5.514517068862915,6,17682.833333333332,200,100000,75,4
27456.0,106092,5.485613822937012,6,17681.833333333332,200,100000,75,5
42920.0,115013,8.198920965194702,6,19168.666666666668,400,100000,75,1
43013.0,121726,10.354893207550049,6,20287.5,400,100000,75,2
43289.0,118242,9.283041000366211,6,19706.833333333332,400,100000,75,3
43133.0,121466,10.315850019454956,6,20244.166666666668,400,100000,75,4
43076.0,121558,10.399970054626465,6,20259.5,400,100000,75,5
72153.0,124310,13.394352912902832,6,20718.166666666668,800,100000,75,1
72338.0,126475,14.234508991241455,7,18067.714285714286,800,100000,75,2
72646.0,123712,13.063941955566406,6,20618.5,800,100000,75,3
72505.0,123990,13.175339937210083,6,20664.833333333332,800,100000,75,4
72085.0,123863,13.362984895706177,6,20643.666666666668,800,100000,75,5
99432.0,131533,18.63833999633789,9,14598.555555555555,1600,100000,75,1
99436.0,132659,19.20409393310547,9,14723.666666666666,1600,100000,75,2
99428.0,132787,19.844871044158936,9,14737.888888888889,1600,100000,75,3
99429.0,133095,19.866891860961914,9,14772.111111111111,1600,100000,75,4
99432.0,132845,19.34794807434082,9,14744.333333333334,1600,100000,75,5
99434.0,152397,38.688705921173096,12,12173.166666666666,3200,100000,75,1
99434.0,151242,39.68104100227356,14,10351.785714285714,3200,100000,75,2
99435.0,152187,40.41268491744995,11,13260.90909090909,3200,100000,75,3
99431.0,152146,40.73675799369812,13,11217.461538461539,3200,100000,75,4
99433.0,151506,38.851385831832886,12,12098.833333333334,3200,100000,75,5
99433.0,227616,104.38660597801208,10,15808.8,6400,100000,75,1
99432.0,226857,104.16680908203125,12,13109.166666666666,6400,100000,75,2
99433.0,227238,104.8595221042633,11,14341.545454545454,6400,100000,75,3
99435.0,226155,103.6475338935852,10,15662.4,6400,100000,75,4
99431.0,226869,104.3138780593872,10,15738.8,6400,100000,75,5
99426.0,289620,168.02905297279358,6,33063.5,10000,100000,75,1
99431.0,289923,167.59130191802979,6,33107.666666666664,10000,100000,75,2
99424.0,290543,167.01929306983948,7,28467.0,10000,100000,75,3
99432.0,289642,166.76172304153442,6,33090.166666666664,10000,100000,75,4
99429.0,290326,167.0430669784546,6,33178.833333333336,10000,100000,75,5
