f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
8870.58364,97817,5.291795015335083,22,0.5,10,10000,75,1
8809.609958000001,97837,5.301114082336426,22,0.5,10,10000,75,2
9008.527806,105170,5.472171068191528,34,330.6875,10,10000,75,3
9020.46382,156390,5.760174989700317,38,315.97222222222223,10,10000,75,4
9007.197565,99096,5.397027015686035,30,358.07142857142856,10,10000,75,5
8870.58364,99879,5.357560157775879,23,0.9523809523809523,20,10000,75,1
8995.645053,100251,5.422821998596191,31,346.3448275862069,20,10000,75,2
9008.527806,128673,5.710134983062744,37,288.48571428571427,20,10000,75,3
9048.977134,114352,5.856541156768799,42,297.45,20,10000,75,4
9029.666564,116788,5.671315908432007,39,330.8918918918919,20,10000,75,5
9042.990362,103966,5.5129759311676025,35,307.45454545454544,40,10000,75,1
9027.991719000001,108433,5.664952993392944,43,263.5609756097561,40,10000,75,2
9055.008636999999,105319,5.7044830322265625,36,304.0882352941176,40,10000,75,3
9076.38462,148089,6.177619934082031,50,327.125,40,10000,75,4
9034.986577,106277,5.663645029067993,35,306.54545454545456,40,10000,75,5
9104.333727,111932,5.939038991928101,45,271.5813953488372,80,10000,75,1
9116.889508,120703,6.162760972976685,49,270.97872340425533,80,10000,75,2
9120.124772,113417,6.1404101848602295,47,255.66666666666666,80,10000,75,3
9088.428363,191257,7.10968804359436,58,353.51785714285717,80,10000,75,4
9099.826329,109411,6.113542795181274,47,247.53333333333333,80,10000,75,5
9133.024185,108977,6.989007949829102,48,240.1304347826087,160,10000,75,1
9131.462956,147585,7.959399938583374,57,308.3090909090909,160,10000,75,2
9113.237511,132882,8.19992184638977,58,279.82142857142856,160,10000,75,3
9152.637408999999,147786,9.004177808761597,62,280.85,160,10000,75,4
9129.147556999998,123199,7.70233416557312,50,283.1458333333333,160,10000,75,5
9157.22306,118437,10.779140949249268,60,218.20689655172413,320,10000,75,1
9168.433827,125648,12.955283164978027,66,207.796875,320,10000,75,2
9165.492817,143308,14.206063985824585,70,248.9264705882353,320,10000,75,3
9163.138909,184911,15.903494834899902,72,287.14285714285717,320,10000,75,4
9164.898727,159659,14.36780595779419,70,302.54411764705884,320,10000,75,5
9200.556463,130603,26.031830072402954,66,230.703125,640,10000,75,1
9195.461291,133585,29.39704704284668,70,205.8235294117647,640,10000,75,2
9202.561753,134109,27.893348932266235,81,185.27848101265823,640,10000,75,3
9208.774885,158629,38.4536190032959,76,219.09459459459458,640,10000,75,4
9196.981171,154078,33.876338958740234,70,248.36764705882354,640,10000,75,5
9225.845635,149061,55.92853617668152,83,213.74074074074073,1000,10000,75,1
9228.010033999999,145645,59.378302812576294,78,197.01315789473685,1000,10000,75,2
9221.353134,149320,58.229756116867065,79,226.4935064935065,1000,10000,75,3
9232.680395,168562,77.58037805557251,87,220.9764705882353,1000,10000,75,4
9228.052065,180990,75.86436891555786,89,252.2528735632184,1000,10000,75,5
