f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
9044.550626,40710,0.29156994819641113,3,13321.333333333334,10,10000,75,1
8994.193328,47317,0.4039630889892578,3,13388.0,10,10000,75,2
9034.867798,41562,0.3073911666870117,3,13333.333333333334,10,10000,75,3
9069.282856,39941,0.24853181838989258,3,13313.333333333334,10,10000,75,4
9039.659475,40308,0.27629590034484863,3,13319.333333333334,10,10000,75,5
9018.796035,41128,0.2783360481262207,3,13378.666666666666,20,10000,75,1
9014.125095,42130,0.3016030788421631,3,13383.333333333334,20,10000,75,2
9030.268954000001,42499,0.3220529556274414,3,13385.333333333334,20,10000,75,3
9071.053603,50423,0.4781069755554199,3,16698.0,20,10000,75,4
8987.991456,43977,0.3405129909515381,3,13386.0,20,10000,75,5
9085.207546,40285,0.2514469623565674,3,13390.0,40,10000,75,1
9020.687748,43629,0.3461329936981201,3,13408.0,40,10000,75,2
9020.497765,44795,0.39550304412841797,3,13415.0,40,10000,75,3
9101.497981999999,48149,0.49263691902160645,4,11999.75,40,10000,75,4
9063.466053,48804,0.4745149612426758,4,12200.75,40,10000,75,5
9151.018242,46339,0.46013498306274414,5,9222.6,80,10000,75,1
9131.648771999999,48480,0.5282859802246094,5,9658.6,80,10000,75,2
9139.436177,44066,0.420788049697876,5,8693.2,80,10000,75,3
9118.020445,45223,0.43399786949157715,4,11168.75,80,10000,75,4
9125.807805,50290,0.5740890502929688,4,12459.75,80,10000,75,5
9143.795134,46336,0.6141929626464844,6,7354.0,160,10000,75,1
9151.721151,46376,0.6546099185943604,6,7530.166666666667,160,10000,75,2
9140.868176,45814,0.579056978225708,7,6122.142857142857,160,10000,75,3
9151.958315,47672,0.8264901638031006,6,7325.833333333333,160,10000,75,4
9149.948633,50020,0.690392017364502,5,9568.8,160,10000,75,5
9196.194393,49410,0.8855669498443604,9,5448.222222222223,320,10000,75,1
9197.404305,46201,0.7349510192871094,9,5133.333333333333,320,10000,75,2
9203.515617000001,49816,0.8828160762786865,9,5535.0,320,10000,75,3
9197.419359,46356,0.8077208995819092,10,4597.8,320,10000,75,4
9209.278714,50103,0.948451042175293,10,5010.2,320,10000,75,5
9226.761059999999,48010,1.2495200634002686,12,3899.9166666666665,640,10000,75,1
9226.442571000001,48244,1.3324089050292969,14,3418.285714285714,640,10000,75,2
9233.273055,51885,1.5372018814086914,14,3706.0,640,10000,75,3
9233.111806,51397,1.5180270671844482,13,3953.5384615384614,640,10000,75,4
9238.557402999999,53404,1.503809928894043,13,4107.923076923077,640,10000,75,5
9245.287609,57556,2.975252866744995,19,3029.2105263157896,1000,10000,75,1
9250.630468000001,55669,2.4892091751098633,17,3274.5882352941176,1000,10000,75,2
9250.86956,54361,2.233715057373047,20,2718.0,1000,10000,75,3
9247.37589,55333,2.358013153076172,15,3688.8,1000,10000,75,4
9248.755116,56050,2.2996768951416016,16,3503.0625,1000,10000,75,5
