f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
89.76587035038061,27103,0.7115030288696289,4,0.0,26,26588,75,1
90.50518832319544,27098,0.7133541107177734,4,0.0,26,26588,75,2
93.5282863869683,27193,0.7233138084411621,5,0.0,26,26588,75,3
90.04708348895984,27113,0.7132811546325684,4,0.0,26,26588,75,4
92.37161803641686,27099,0.7118639945983887,4,0.0,26,26588,75,5
155.7801508605242,27277,0.7175581455230713,4,0.0,52,26588,75,1
157.94249785668345,27273,0.7171311378479004,4,0.0,52,26588,75,2
156.50026542448254,27525,0.7295200824737549,5,0.0,52,26588,75,3
159.04488531979635,27261,0.7146451473236084,4,0.0,52,26588,75,4
156.28155777902572,27281,0.7186629772186279,4,0.0,52,26588,75,5
269.4455975896916,27771,0.7481648921966553,5,0.0,104,26588,75,1
266.41671183527706,27898,0.7554709911346436,6,0.0,104,26588,75,2
268.78835162455925,27863,0.7542409896850586,6,0.0,104,26588,75,3
271.7150033701096,27695,0.7445549964904785,5,0.0,104,26588,75,4
265.55027683799824,27492,0.7307498455047607,4,0.0,104,26588,75,5
462.70351533833224,27580,0.7645318508148193,7,0.0,208,26588,75,1
462.80473899171204,27572,0.7688748836517334,7,0.0,208,26588,75,2
461.6211473440332,27614,0.7693111896514893,7,0.0,208,26588,75,3
464.0484337961487,27545,0.7647840976715088,7,0.0,208,26588,75,4
460.8523255115526,27629,0.7677571773529053,7,0.0,208,26588,75,5
700.1212926116478,95669,3.9950008392333984,8,0.0,416,26588,75,1
700.3852610687671,95710,4.008862018585205,8,0.0,416,26588,75,2
705.3952233328115,95693,4.0131940841674805,8,0.0,416,26588,75,3
701.4416627817182,95672,4.020679950714111,8,0.0,416,26588,75,4
702.2412619499692,95714,4.016180992126465,8,0.0,416,26588,75,5
1301.9215723775765,99660,5.737243890762329,12,0.0,932,26588,75,1
1303.95491701419,88990,4.60539698600769,10,0.0,932,26588,75,2
1292.4052577843552,134106,6.919883966445923,10,0.0,932,26588,75,3
1291.4310388748138,162646,9.88700795173645,12,0.0,932,26588,75,4
1302.3449338621683,89006,4.611890077590942,10,0.0,932,26588,75,5
2295.3194944858146,166386,11.327853918075562,10,0.0,1864,26588,75,1
2295.5138166469233,147192,10.978291988372803,11,0.0,1864,26588,75,2
2295.379535766999,147459,10.940174102783203,11,0.0,1864,26588,75,3
2296.64465051689,133003,9.080891847610474,9,0.0,1864,26588,75,4
2294.420182016981,164152,12.984074115753174,12,0.0,1864,26588,75,5
3117.5886327047706,145604,11.399548053741455,11,0.0,2658,26588,75,1
3117.4807510522955,145499,11.388520002365112,11,0.0,2658,26588,75,2
3117.4871338621115,145370,11.302206039428711,11,0.0,2658,26588,75,3
3118.0001893225335,145204,11.291254043579102,11,0.0,2658,26588,75,4
3118.8433543461897,145289,11.308650970458984,11,0.0,2658,26588,75,5
