f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
105.20855047859807,26796,0.73313307762146,7,3827.8571428571427,26,26588,75,1
105.22553947325865,26785,0.7042050361633301,7,3826.285714285714,26,26588,75,2
105.44485078409863,26795,0.7044949531555176,7,3827.714285714286,26,26588,75,3
105.30539609076793,26796,0.7153129577636719,7,3827.8571428571427,26,26588,75,4
105.4796766117376,26785,0.6966338157653809,7,3826.285714285714,26,26588,75,5
176.4036937045935,27012,0.7452619075775146,8,3376.375,52,26588,75,1
176.37549177347915,27022,0.7427499294281006,8,3377.625,52,26588,75,2
176.59429147267474,27022,0.7349669933319092,8,3377.625,52,26588,75,3
176.34348917386362,27015,0.7353811264038086,8,3376.75,52,26588,75,4
176.2143101616279,27020,0.7422919273376465,8,3377.375,52,26588,75,5
286.32134461919,27336,0.7559728622436523,8,3416.875,104,26588,75,1
286.1984453697808,27338,0.7490198612213135,8,3417.125,104,26588,75,2
286.3217491760227,27597,0.7890629768371582,9,3066.222222222222,104,26588,75,3
286.4024793960388,27337,0.7474038600921631,8,3417.0,104,26588,75,4
286.2861739872622,27598,0.7777578830718994,9,3066.3333333333335,104,26588,75,5
465.4862282339647,28669,0.8586440086364746,9,3185.3333333333335,208,26588,75,1
465.5846436016507,28643,0.8485629558563232,9,3182.4444444444443,208,26588,75,2
465.7264888155477,28654,0.874366044998169,9,3183.6666666666665,208,26588,75,3
465.5007502617872,28636,0.852337121963501,9,3181.6666666666665,208,26588,75,4
465.17300300139163,28669,0.8472819328308105,9,3185.3333333333335,208,26588,75,5
761.4562802300901,30893,1.046247959136963,9,3432.4444444444443,416,26588,75,1
762.0598824400665,30767,1.0483510494232178,9,3418.4444444444443,416,26588,75,2
762.1409997488631,30847,1.0556588172912598,9,3427.3333333333335,416,26588,75,3
762.4557339305105,30794,1.0262019634246826,9,3421.4444444444443,416,26588,75,4
762.1915377345321,30699,1.000072956085205,9,3410.8888888888887,416,26588,75,5
1373.0228777816735,39912,1.9198298454284668,9,4434.555555555556,932,26588,75,1
1375.5600393228292,39612,1.9247260093688965,9,4401.222222222223,932,26588,75,2
1375.5616666506498,38449,1.7343668937683105,9,4272.0,932,26588,75,3
1375.4455739848527,39651,1.8862180709838867,9,4405.555555555556,932,26588,75,4
1376.4670194215253,38533,1.7114670276641846,9,4281.333333333333,932,26588,75,5
2354.303235418103,47881,2.682677984237671,8,5985.0,1864,26588,75,1
2356.0334830937663,47832,2.661329984664917,8,5978.875,1864,26588,75,2
2359.807201111662,47860,2.6816670894622803,8,5982.375,1864,26588,75,3
2356.6305370110454,47692,2.650418996810913,8,5961.375,1864,26588,75,4
2359.262085387381,47747,2.676769971847534,8,5968.25,1864,26588,75,5
3166.8768806028033,90821,9.18485713005066,8,11352.5,2658,26588,75,1
3166.5224987285796,91456,9.227540016174316,8,11431.875,2658,26588,75,2
3169.4087650297265,90735,9.149864912033081,8,11341.75,2658,26588,75,3
3165.1510450736687,91035,9.197307825088501,8,11379.25,2658,26588,75,4
3163.450145684908,91018,9.138239860534668,8,11377.125,2658,26588,75,5
