f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
68551.87004855995,43495,1.5815839767456055,6,0.0,42,42055,75,1
69068.40803408461,43605,1.577437162399292,6,0.0,42,42055,75,2
69375.63827346111,43874,1.5782320499420166,6,0.0,42,42055,75,3
70001.12325954491,43287,1.5668590068817139,6,0.0,42,42055,75,4
70551.82822555941,43182,1.5682649612426758,6,0.0,42,42055,75,5
118383.41122022031,42711,1.5582139492034912,8,0.0,84,42055,75,1
119135.62355395855,42629,1.5562820434570312,8,0.0,84,42055,75,2
119912.03190810606,42615,1.5517449378967285,8,0.0,84,42055,75,3
119601.16133917606,42670,1.5585951805114746,8,0.0,84,42055,75,4
118767.65427368367,42708,1.5706510543823242,9,0.0,84,42055,75,5
185867.673543854,43298,1.6699409484863281,11,0.0,168,42055,75,1
185162.89543297322,46031,1.8135979175567627,12,0.0,168,42055,75,2
184268.35554586683,45522,1.7932469844818115,12,0.0,168,42055,75,3
184882.05496301697,45745,1.80204176902771,12,0.0,168,42055,75,4
184727.43710348147,46231,1.8403000831604004,13,0.0,168,42055,75,5
275966.2892955139,46464,2.640127182006836,34,0.0,336,42055,75,1
275836.0774259601,46438,2.638485908508301,34,0.0,336,42055,75,2
276029.86235457583,46516,2.6336441040039062,35,0.0,336,42055,75,3
275930.02075999504,46490,2.6371939182281494,34,0.0,336,42055,75,4
275968.3766848965,46566,2.6410200595855713,35,0.0,336,42055,75,5
390135.2962430674,86094,7.681282997131348,36,522.2608695652174,672,42055,75,1
390164.76126578776,86811,7.683041095733643,37,516.8333333333334,672,42055,75,2
389707.89420150866,85918,7.687018871307373,37,485.0,672,42055,75,3
390020.60115390614,85091,7.601871967315674,34,473.85714285714283,672,42055,75,4
389949.4842841559,79510,7.4127020835876465,34,577.9047619047619,672,42055,75,5
533564.4425722203,151025,16.454283952713013,81,261.88732394366195,1344,42055,75,1
533496.2217902049,156870,16.79313087463379,82,271.93055555555554,1344,42055,75,2
533495.4858663857,150767,16.43212389945984,82,257.3333333333333,1344,42055,75,3
533547.9193456953,154496,16.705448150634766,83,255.84931506849315,1344,42055,75,4
533542.68729125,152091,16.564793825149536,83,255.04109589041096,1344,42055,75,5
690252.3988220239,330690,39.73573088645935,208,157.23857868020303,2688,42055,75,1
690305.7135035237,333775,40.20728397369385,219,149.34615384615384,2688,42055,75,2
690290.5985634977,330374,39.819950103759766,216,150.93658536585366,2688,42055,75,3
690240.6241633665,332895,40.14254903793335,212,153.3233830845771,2688,42055,75,4
690331.2217868906,330429,40.032809019088745,220,149.21052631578948,2688,42055,75,5
792902.7868936125,431754,58.20044708251953,245,165.35593220338984,4205,42055,75,1
793015.439357017,432520,57.85792899131775,229,176.9409090909091,4205,42055,75,2
793012.8027230385,430729,58.04636812210083,239,168.87391304347827,4205,42055,75,3
792991.3855952647,430340,57.774535179138184,226,178.87557603686636,4205,42055,75,4
792912.1017795448,431516,58.0946569442749,241,167.70689655172413,4205,42055,75,5
