f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
72702.48559471004,42397,1.4337139129638672,8,5299.5,42,42055,75,1
73276.71384609738,42472,1.518610954284668,9,4719.0,42,42055,75,2
73537.23246542765,42469,1.5078520774841309,9,4718.666666666667,42,42055,75,3
72613.89212270346,42475,1.504908800125122,9,4719.333333333333,42,42055,75,4
72682.23912486657,42505,1.5254690647125244,9,4722.666666666667,42,42055,75,5
118551.73000294401,42864,1.4998271465301514,10,4286.3,84,42055,75,1
118666.27912925284,42879,1.5692720413208008,10,4287.8,84,42055,75,2
118504.12335710609,42869,1.5559329986572266,10,4286.8,84,42055,75,3
119413.34322910194,42878,1.5631129741668701,10,4287.7,84,42055,75,4
119333.25895945095,42861,1.563835859298706,10,4286.0,84,42055,75,5
185078.82557622017,43872,1.6685669422149658,12,3655.9166666666665,168,42055,75,1
185337.56151524518,43877,1.6588900089263916,12,3656.3333333333335,168,42055,75,2
184665.10298674513,43848,1.6682541370391846,12,3653.9166666666665,168,42055,75,3
185528.88843723395,43865,1.6502330303192139,12,3655.3333333333335,168,42055,75,4
185022.2202848005,43874,1.6598289012908936,12,3656.0833333333335,168,42055,75,5
275893.8559637193,46107,1.8326458930969238,14,3293.285714285714,336,42055,75,1
275557.3585969631,46845,1.881295919418335,15,3122.9333333333334,336,42055,75,2
275261.138157113,46846,1.8765029907226562,15,3123.0,336,42055,75,3
275758.4824327976,47079,1.8868958950042725,15,3138.5333333333333,336,42055,75,4
275332.85977433634,46836,1.878570795059204,15,3122.3333333333335,336,42055,75,5
392068.17221190024,52259,2.2539360523223877,17,3074.0,672,42055,75,1
392193.0292059701,52355,2.2860801219940186,17,3079.6470588235293,672,42055,75,2
391873.9149856276,52615,2.2949302196502686,17,3094.9411764705883,672,42055,75,3
392041.5823900365,52588,2.289883852005005,17,3093.3529411764707,672,42055,75,4
392218.0024762885,52457,2.2640089988708496,17,3085.6470588235293,672,42055,75,5
532775.6063374161,64755,3.2943670749664307,20,3237.7,1344,42055,75,1
532978.2503881765,64668,3.3100619316101074,20,3233.35,1344,42055,75,2
532924.7721180384,64727,3.236725091934204,20,3236.3,1344,42055,75,3
533049.5722694292,64671,3.278588056564331,20,3233.5,1344,42055,75,4
533020.6412857359,64697,3.2301981449127197,20,3234.8,1344,42055,75,5
690019.7373242609,90701,6.198225975036621,22,4122.727272727273,2688,42055,75,1
690118.9772653441,90841,6.2318971157073975,24,3785.0,2688,42055,75,2
690173.7950631815,90782,6.149646997451782,22,4126.409090909091,2688,42055,75,3
690085.5883540186,90764,6.296998977661133,24,3781.7916666666665,2688,42055,75,4
690074.8048771336,90885,6.267022132873535,24,3786.8333333333335,2688,42055,75,5
794497.5025721341,114924,10.043585062026978,26,4420.115384615385,4205,42055,75,1
794559.7783524139,114332,9.95151400566101,25,4573.24,4205,42055,75,2
794384.8301230388,114679,9.905889987945557,25,4587.12,4205,42055,75,3
794510.2194163237,114421,10.065531015396118,26,4400.7692307692305,4205,42055,75,4
794647.3619188498,114586,9.986077070236206,25,4583.4,4205,42055,75,5
