f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
160,100014,4.307129144668579,2,0.0,10,100000,75,1
160,100014,4.388346910476685,2,0.0,10,100000,75,2
160,100014,4.366672992706299,2,0.0,10,100000,75,3
160,100014,4.391558885574341,2,0.0,10,100000,75,4
160,100014,4.3410749435424805,2,0.0,10,100000,75,5
273,315125,15.082507848739624,4,0.0,20,100000,75,1
276,315125,15.169319868087769,4,0.0,20,100000,75,2
271,315130,14.949095964431763,4,0.0,20,100000,75,3
280,315127,15.092129945755005,4,0.0,20,100000,75,4
276,315126,15.167541980743408,4,0.0,20,100000,75,5
602,100159,4.442203998565674,2,0.0,40,100000,75,1
600,100344,4.4826500415802,4,0.0,40,100000,75,2
603,100159,4.444360017776489,2,0.0,40,100000,75,3
607,100161,4.449256896972656,2,0.0,40,100000,75,4
604,100281,4.344040870666504,3,0.0,40,100000,75,5
1206,100158,4.380796909332275,3,0.0,80,100000,75,1
1208,100161,4.37883996963501,3,0.0,80,100000,75,2
1208,100164,4.3710339069366455,3,0.0,80,100000,75,3
1209,100164,4.358547925949097,3,0.0,80,100000,75,4
1209,100161,4.368250846862793,3,0.0,80,100000,75,5
2137,329253,18.125858783721924,6,0.0,160,100000,75,1
2145,313862,16.477017879486084,5,0.0,160,100000,75,2
2148,344579,19.432698011398315,7,0.0,160,100000,75,3
2157,344581,19.456045150756836,7,0.0,160,100000,75,4
2162,344589,19.346556901931763,7,0.0,160,100000,75,5
4511,102163,4.466342926025391,3,0.0,320,100000,75,1
4519,103254,4.585487127304077,5,0.0,320,100000,75,2
4520,102173,4.475799083709717,3,0.0,320,100000,75,3
4531,103335,4.568304061889648,5,0.0,320,100000,75,4
4513,103332,4.592635869979858,5,0.0,320,100000,75,5
9019,315478,21.25712013244629,6,0.0,640,100000,75,1
8970,315465,21.20479989051819,6,0.0,640,100000,75,2
8970,315454,21.024714946746826,5,0.0,640,100000,75,3
8981,315461,21.18540382385254,6,0.0,640,100000,75,4
9011,315497,21.19620394706726,6,0.0,640,100000,75,5
15667,471575,40.52761697769165,7,0.0,1280,100000,75,1
15700,471241,40.664783000946045,7,0.0,1280,100000,75,2
15656,471331,40.56862998008728,7,0.0,1280,100000,75,3
15679,471706,40.60512614250183,7,0.0,1280,100000,75,4
15714,501983,46.44800591468811,9,0.0,1280,100000,75,5
29814,458118,59.46436595916748,9,0.0,2560,100000,75,1
29797,524695,66.26023197174072,9,0.0,2560,100000,75,2
29803,425653,51.15293097496033,7,0.0,2560,100000,75,3
29788,455678,60.05911183357239,9,0.0,2560,100000,75,4
29793,472174,63.61306285858154,10,0.0,2560,100000,75,5
56827,436002,93.94775986671448,10,0.0,5120,100000,75,1
56788,439622,94.12964797019958,10,0.0,5120,100000,75,2
56670,453840,101.93709397315979,12,0.0,5120,100000,75,3
56793,436596,94.0176351070404,11,0.0,5120,100000,75,4
56846,435513,93.73250985145569,10,0.0,5120,100000,75,5
93883,390396,142.36678314208984,26,0.0,10000,100000,75,1
93951,384277,141.03808093070984,26,0.0,10000,100000,75,2
93964,385851,140.60452914237976,26,0.0,10000,100000,75,3
93946,387363,140.52610778808594,26,0.0,10000,100000,75,4
93827,391489,142.62128806114197,26,0.0,10000,100000,75,5
