f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
152,100343,4.081928968429565,4,25085.5,10,100000,75,1
151,100344,4.171432018280029,4,25085.75,10,100000,75,2
150,100343,4.1666259765625,4,25085.5,10,100000,75,3
151,100344,4.2044432163238525,4,25085.75,10,100000,75,4
151,100344,4.200616836547852,4,25085.75,10,100000,75,5
303,100368,4.180377006530762,4,25091.75,20,100000,75,1
301,100369,4.187497138977051,4,25092.0,20,100000,75,2
302,100369,4.179310083389282,4,25092.0,20,100000,75,3
302,100370,4.199445962905884,4,25092.25,20,100000,75,4
301,100368,4.108011960983276,4,25091.75,20,100000,75,5
605,100411,4.117671012878418,4,25102.5,40,100000,75,1
605,100412,4.147380113601685,4,25102.75,40,100000,75,2
603,100411,4.110124111175537,4,25102.5,40,100000,75,3
603,100413,4.183245897293091,4,25103.0,40,100000,75,4
602,100412,4.183310031890869,4,25102.75,40,100000,75,5
1203,100467,4.165750980377197,4,25116.5,80,100000,75,1
1204,100467,4.154322862625122,4,25116.5,80,100000,75,2
1204,100467,4.1688549518585205,4,25116.5,80,100000,75,3
1210,100467,4.1848249435424805,4,25116.5,80,100000,75,4
1202,100467,4.181766033172607,4,25116.5,80,100000,75,5
2291,116616,5.744930982589722,5,23323.0,160,100000,75,1
2288,121589,6.305971145629883,5,24317.6,160,100000,75,2
2292,116556,5.732311964035034,5,23311.0,160,100000,75,3
2292,116612,5.717861890792847,5,23322.2,160,100000,75,4
2290,116586,5.792752027511597,5,23317.0,160,100000,75,5
4384,120681,6.36015510559082,5,24136.0,320,100000,75,1
4375,121010,6.392647981643677,5,24201.8,320,100000,75,2
4376,120740,6.359125852584839,5,24147.8,320,100000,75,3
4380,120642,6.349746227264404,5,24128.2,320,100000,75,4
4370,120689,6.345974922180176,5,24137.6,320,100000,75,5
8500,122888,6.958737134933472,5,24577.4,640,100000,75,1
8503,122418,6.965220928192139,5,24483.4,640,100000,75,2
8475,122659,6.914313077926636,5,24531.6,640,100000,75,3
8507,122621,6.91619610786438,5,24524.0,640,100000,75,4
8476,122592,6.8756818771362305,5,24518.2,640,100000,75,5
16717,180057,17.258896827697754,5,36011.2,1280,100000,75,1
16760,194782,19.54674792289734,5,38956.2,1280,100000,75,2
16667,180926,17.32989192008972,5,36185.0,1280,100000,75,3
16743,180645,17.238370895385742,5,36128.8,1280,100000,75,4
16719,158936,13.351691007614136,5,31787.0,1280,100000,75,5
31910,183762,20.110016107559204,5,36752.2,2560,100000,75,1
31986,187506,20.388925075531006,5,37501.0,2560,100000,75,2
31928,184013,20.158646821975708,5,36802.4,2560,100000,75,3
31957,186280,20.438737154006958,5,37255.8,2560,100000,75,4
31990,195150,21.165832996368408,5,39029.8,2560,100000,75,5
60559,313714,82.12163496017456,6,52285.5,5120,100000,75,1
60619,324908,81.90216398239136,6,54151.166666666664,5120,100000,75,2
60546,320863,80.72725009918213,6,53477.0,5120,100000,75,3
60742,326437,85.80742597579956,6,54406.0,5120,100000,75,4
60731,323052,80.12585997581482,6,53841.833333333336,5120,100000,75,5
95394,537008,234.87703490257263,13,41308.230769230766,10000,100000,75,1
95361,494362,213.8274929523468,12,41196.75,10000,100000,75,2
95292,538846,234.76607489585876,13,41449.61538461538,10000,100000,75,3
95328,498945,213.16581296920776,12,41578.666666666664,10000,100000,75,4
95450,526558,230.7056519985199,13,40504.38461538462,10000,100000,75,5
