f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
4368.2567549098785,17727,2.6241800785064697,14,20.3,17,17432,75,1
4556.209137688962,18388,2.75479793548584,19,33.6,17,17432,75,2
4594.13585405324,17693,2.5978970527648926,14,17.5,17,17432,75,3
4578.307591011767,17699,2.6187260150909424,14,17.6,17,17432,75,4
4686.417210251661,18221,2.7352259159088135,19,25.4,17,17432,75,5
7184.590889335021,18149,2.2370550632476807,23,30.80952380952381,34,17432,75,1
7199.514118260673,18142,2.230088949203491,25,28.304347826086957,34,17432,75,2
7207.579930279191,18151,2.2170398235321045,25,28.434782608695652,34,17432,75,3
7100.783885477867,72049,11.78886604309082,38,16.083333333333332,34,17432,75,4
7189.131708886813,18128,2.196039915084839,23,29.857142857142858,34,17432,75,5
9612.755815448583,25224,10.837046146392822,133,10.465648854961833,68,17432,75,1
9614.236100070819,25278,10.782557010650635,130,10.5390625,68,17432,75,2
9590.482062861387,23821,9.236166000366211,87,15.576470588235294,68,17432,75,3
9600.94240307035,24767,11.926797151565552,120,9.542372881355933,68,17432,75,4
9617.578757815929,23755,9.15066409111023,86,15.107142857142858,68,17432,75,5
12337.012011538516,29249,15.401104927062988,119,22.060344827586206,136,17432,75,1
12375.28733363551,29985,16.14965295791626,131,22.1953125,136,17432,75,2
11840.803286173643,28412,16.341690063476562,100,23.164948453608247,136,17432,75,3
12362.091991254143,29858,16.502843141555786,135,21.075757575757574,136,17432,75,4
12374.378997629678,30125,16.684839963912964,133,22.515384615384615,136,17432,75,5
15375.285219892234,49699,51.06088089942932,125,29.275,272,17432,75,1
15380.535129653275,48990,48.28940296173096,117,31.214285714285715,272,17432,75,2
15386.183901107273,45435,42.09268593788147,102,35.28865979381443,272,17432,75,3
15354.78018986806,49565,51.334338903427124,118,30.327433628318584,272,17432,75,4
15351.571496664677,48551,49.10688781738281,112,33.88785046728972,272,17432,75,5
18498.931095885015,111476,310.860454082489,148,41.13380281690141,544,17432,75,1
18514.800988568415,115522,323.9714069366455,136,45.66923076923077,544,17432,75,2
18510.22956536689,113967,319.20692801475525,147,42.709219858156025,544,17432,75,3
18522.418344490063,113358,314.47674202919006,146,42.47142857142857,544,17432,75,4
18536.63762692216,113601,316.77143001556396,139,44.932330827067666,544,17432,75,5
21306.84168694345,140274,763.5134088993073,144,75.95714285714286,1088,17432,75,1
21301.445897144065,139192,756.9678621292114,140,74.82352941176471,1088,17432,75,2
21286.55337529829,138918,760.6245729923248,136,76.71969696969697,1088,17432,75,3
21311.175806206335,140153,766.1821889877319,150,72.58904109589041,1088,17432,75,4
21301.313025825883,139420,764.5827350616455,143,73.41007194244604,1088,17432,75,5
24114.068257795752,211846,2048.6995239257812,163,84.15286624203821,1743,17432,75,1
24124.541541928946,212850,2048.9010269641876,165,83.57232704402516,1743,17432,75,2
24114.750367218996,213590,2051.370952129364,150,91.90277777777777,1743,17432,75,3
24112.68207684627,212772,2051.405552148819,157,88.11920529801324,1743,17432,75,4
24127.912833287173,195189,1815.8319828510284,162,86.5448717948718,1743,17432,75,5
