f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
5176.545055957634,17710,0.33556604385375977,11,1609.909090909091,17,17432,75,1
5119.788438056299,17688,0.3093271255493164,12,1473.9166666666667,17,17432,75,2
5215.077939670451,17755,0.33630800247192383,12,1479.5,17,17432,75,3
5173.459615790206,17736,0.31876707077026367,10,1773.5,17,17432,75,4
5168.942155811029,17689,0.297745943069458,10,1768.8,17,17432,75,5
7200.558996983535,18226,0.6359949111938477,15,1215.0,34,17432,75,1
7188.423371455895,18217,0.5757439136505127,16,1138.5,34,17432,75,2
7194.1219367433605,18086,0.5173850059509277,16,1130.3125,34,17432,75,3
7190.916994353325,18046,0.46065497398376465,15,1203.0,34,17432,75,4
7200.0313421589835,18186,0.5497908592224121,14,1298.9285714285713,34,17432,75,5
9595.496961741299,19244,1.316528081893921,21,916.3333333333334,68,17432,75,1
9616.276728920571,19071,1.1706030368804932,18,1059.4444444444443,68,17432,75,2
9605.974412969752,19165,1.301142930984497,22,871.0909090909091,68,17432,75,3
9600.557391206881,19130,1.2131009101867676,20,956.45,68,17432,75,4
9606.04868852192,19086,1.3737499713897705,21,908.8095238095239,68,17432,75,5
12391.346417434232,20818,2.9334559440612793,22,946.2272727272727,136,17432,75,1
12393.28619698691,20976,3.2708041667938232,24,873.9583333333334,136,17432,75,2
12390.885500100463,20943,3.523313045501709,26,805.4615384615385,136,17432,75,3
12394.258223710152,21127,3.069772958755493,25,845.04,136,17432,75,4
12394.269343156002,21002,3.30572509765625,24,875.0416666666666,136,17432,75,5
15406.21131624118,24710,12.92226791381836,28,882.4642857142857,272,17432,75,1
15407.932928463344,24951,13.555298805236816,30,831.6666666666666,272,17432,75,2
15402.241731552687,24179,11.508424043655396,24,1007.4166666666666,272,17432,75,3
15407.024550924203,24658,13.012331008911133,28,880.6071428571429,272,17432,75,4
15398.36834342933,24405,11.808940887451172,29,841.5172413793103,272,17432,75,5
18094.721013715884,29554,39.87612986564636,30,985.1,544,17432,75,1
18103.852514658018,29715,39.403778076171875,32,928.5625,544,17432,75,2
18078.575120529404,29729,39.462247133255005,31,958.9677419354839,544,17432,75,3
18567.335755606255,30304,45.75371599197388,31,977.516129032258,544,17432,75,4
18567.572096538748,30215,45.04754996299744,30,1007.1333333333333,544,17432,75,5
21367.95111714354,39010,140.98679399490356,33,1182.090909090909,1088,17432,75,1
20943.748272491834,38476,124.5995090007782,32,1202.34375,1088,17432,75,2
20946.47566553363,38650,123.91226506233215,32,1207.78125,1088,17432,75,3
20925.795353352416,38780,125.84731101989746,32,1211.84375,1088,17432,75,4
20935.17294977875,38098,130.97805500030518,32,1190.53125,1088,17432,75,5
23270.776800606276,47521,301.07270193099976,33,1440.0,1743,17432,75,1
22669.955662940483,46393,253.10702395439148,33,1405.8181818181818,1743,17432,75,2
22678.22420767805,47365,242.17941212654114,33,1435.2727272727273,1743,17432,75,3
22671.697742288387,47040,262.3506557941437,34,1383.5,1743,17432,75,4
22679.93201273883,46673,271.0108051300049,35,1333.4857142857143,1743,17432,75,5
